,sentences,dataset
96,"although it is clear that microglia are intimately involved in the inflammatory response of the brain, especially to the amyloid deposits in alzheimer disease (ad), their role in the pathogenesis of the disease is less certain",custom_mturk
97,"activated microglia can, in their response to insult, release reactive oxygen and nitrogen species, with one major consequence being damage to the local cellular environment",custom_mturk
98,"although the nsaid data are encouraging, recommendations for chronic nsaid therapy in healthy elderly individuals are tempered by the well documented risk of gastrointestinal (gi) bleeding and ulceration",custom_mturk
99,"declining gfr explains the age related increase in plasma thcy, and hyperfiltration explains the lower than normal mean plasma thcy and tcys concentrations in populations of diabetic patients",custom_mturk
100,in these studies we used a doubly transgenic (tg) mouse model of amyloid deposition to test the working hypothesis that the benefit of nsaid use in diminishing the risk of ad is attributable to suppression of the microglial response,custom_mturk
101,"we compared the effects of a prototypical and nonselective nsaid demonstrated previously to reduce abeta deposition, ibuprofen, with the cox2 selective inhibitor celecoxib and the no releasing nsaid ncx 2216",custom_mturk
102,"we compared the effects of a prototypical and nonselective nsaid demonstrated previously to reduce abeta deposition, ibuprofen, with the cox2 selective inhibitor celecoxib and the no releasing nsaid ncx 2216",custom_mturk
103,"unexpectedly, we found that the no releasing nsaid activated microglia",custom_mturk
104,"unexpectedly, we found that the no releasing nsaid activated microglia",custom_mturk
105,"in parallel, we also found that this agent reduced abeta loads more than the other agents",custom_mturk
106,"in parallel, we also found that this agent reduced abeta loads more than the other agents",custom_mturk
107,"a past history of depressions, self reports of depressed mood, self blaming, hopeless and somatic delusions, an appetite disturbance and subacute onset identified the patients suffering from dementia caused by depression",custom_mturk
108,"a past history of depressions, self reports of depressed mood, self blaming, hopeless and somatic delusions, an appetite disturbance and subacute onset identified the patients suffering from dementia caused by depression",custom_mturk
109,the dyslipidaemia common in type ii diabetes (hypertriglyceridaemia and low serum levels of hdl cholesterol) is also a feature of natural and experimental acutephase reactions,custom_mturk
110,the dyslipidaemia common in type ii diabetes (hypertriglyceridaemia and low serum levels of hdl cholesterol) is also a feature of natural and experimental acutephase reactions,custom_mturk
111,"the evidence indicates a strong association between ad and cardiovascular risk factors, including apoe4, atrial fibrillation, thrombotic events, hypertension, hypotension, heart failure, high serum markers of inflammation, coronary artery disease, low cardiac index, and valvular pathology",custom_mturk
112,"in elderly people whose cerebral perfusion is already diminished by their advanced age, additional reduction of cerebral blood flow stemming from abnormalities in the heart brain vascular loop ostensibly increases the probability of developing ad",custom_mturk
113,"in elderly people whose cerebral perfusion is already diminished by their advanced age, additional reduction of cerebral blood flow stemming from abnormalities in the heart brain vascular loop ostensibly increases the probability of developing ad",custom_mturk
114,"background neurologic abnormalities affecting gait occur early in several types of non alzheimer dementias, but their value in predicting the development of dementia is uncertain.",custom_mturk
115,"background neurologic abnormalities affecting gait occur early in several types of non alzheimer dementias, but their value in predicting the development of dementia is uncertain.",custom_mturk
116,the heterogeneity of cerebrovascular disease makes it challenging to elucidate the neuropathological substrates and mechanisms of vad as well as vascular cognitive impairment (vci),custom_mturk
117,"the presence of neurologic gait abnormalities in elderly persons without dementia at base line is a significant predictor of the risk of development of dementia, especially non alzheimer dementia.",custom_mturk
118,"the presence of neurologic gait abnormalities in elderly persons without dementia at base line is a significant predictor of the risk of development of dementia, especially non alzheimer dementia.",custom_mturk
119,we review evidence that a long term cytokine mediated acute phase reaction occurs in type ii diabetes and is part of a wide ranging innate immune response,custom_mturk
120,we review evidence that a long term cytokine mediated acute phase reaction occurs in type ii diabetes and is part of a wide ranging innate immune response,custom_mturk
121,pathological diagnosis of suspected clinical vad requires adequate postmortem brain sampling and rigorous assessment methods to identify important substrates,custom_mturk
122,pathological diagnosis of suspected clinical vad requires adequate postmortem brain sampling and rigorous assessment methods to identify important substrates,custom_mturk
123,"the observed relation between high triglycerides, diabetes, and vascular dementia emphasizes the need for detection and treatment of vascular risk factors in older individuals in order to prevent the likelihood of clinical dementia.",custom_mturk
124,"the observed relation between high triglycerides, diabetes, and vascular dementia emphasizes the need for detection and treatment of vascular risk factors in older individuals in order to prevent the likelihood of clinical dementia.",custom_mturk
125,"choline acetyltransferase and acetylcholinesterase activities decreased significantly as the mean plaque count rose, and in depressed and demented subjects the reduction in choline acetyltransferase activity correlated with the extent of intellectual impairment as measured by a memory information test; muscarinic cholinergic receptor binding activity remained unchanged with increasing senile plaque formation but butyrylcholinesterase activity increased.",custom_mturk
126,"choline acetyltransferase and acetylcholinesterase activities decreased significantly as the mean plaque count rose, and in depressed and demented subjects the reduction in choline acetyltransferase activity correlated with the extent of intellectual impairment as measured by a memory information test; muscarinic cholinergic receptor binding activity remained unchanged with increasing senile plaque formation but butyrylcholinesterase activity increased.",custom_mturk
127,"the results suggest a close relation between changes in the cholinergic system and alzheimer dementia, but the precise role of the system in this disease remains to be elucidated.",custom_mturk
128,patients with type ii (non insulin dependent) diabetes mellitus manifest abnormalities in insulin action and insulin secretion,custom_mturk
129,patients with type ii (non insulin dependent) diabetes mellitus manifest abnormalities in insulin action and insulin secretion,custom_mturk
130,atherosclerotic and cardioembolic diseases appear the most common substrates of vascular brain injury or infarction,custom_mturk
131,atherosclerotic and cardioembolic diseases appear the most common substrates of vascular brain injury or infarction,custom_mturk
132,the investigation of genetic and other causes of alzheimer disease requires reliable and valid methods of gathering historical data on elderly relatives.,custom_mturk
133,"small vessel disease characterised by arteriolosclerosis and lacunar infarcts also causes cortical and subcortical microinfarcts, which appear to be the most robust substrates of cognitive impairment",custom_mturk
134,"small vessel disease characterised by arteriolosclerosis and lacunar infarcts also causes cortical and subcortical microinfarcts, which appear to be the most robust substrates of cognitive impairment",custom_mturk
135,diffuse wm changes with loss of myelin and axonal abnormalities are common to almost all subtypes of vad,custom_mturk
136,whether abnormalities in insulin secretion also precede and predict diabetes has been debated,custom_mturk
137,whether abnormalities in insulin secretion also precede and predict diabetes has been debated,custom_mturk
138,we discuss the concept that peripheral and central nervous system inflammation link the pathogenesis of ad and metabolic diseases,custom_mturk
139,we discuss the concept that peripheral and central nervous system inflammation link the pathogenesis of ad and metabolic diseases,custom_mturk
140,this scientific statement provides an overview of the evidence on vascular contributions to cognitive impairment and dementia.,custom_mturk
141,this scientific statement provides an overview of the evidence on vascular contributions to cognitive impairment and dementia.,custom_mturk
142,"however, recent studies clearly indicate that early insulin secretion plays a critical role in maintaining normal glucose homeostasis",custom_mturk
143,"however, recent studies clearly indicate that early insulin secretion plays a critical role in maintaining normal glucose homeostasis",custom_mturk
144,we also explore the contribution of brain inflammation to defective insulin signaling and neuronal dysfunction,custom_mturk
145,vascular contributions to cognitive impairment and dementia of later life are common.,custom_mturk
146,"last, we review recent evidence indicating that targeting neuroinflammation may provide novel therapeutic avenues for ad",custom_mturk
147,"accordingly, the opposite trend was noted in the prevalence of antibody to the hepatitis b e antigen (anti hbe)",custom_mturk
148,"accordingly, the opposite trend was noted in the prevalence of antibody to the hepatitis b e antigen (anti hbe)",custom_mturk
149,progressive memory loss and cognitive dysfunction are the hallmark clinical features of alzheimer disease (ad).,custom_mturk
150,progressive memory loss and cognitive dysfunction are the hallmark clinical features of alzheimer disease (ad).,custom_mturk
151,"oxidative stress is one of the earliest events of alzheimer disease (ad), with implications as an important mediator in the onset, progression and pathogenesis of the disease",custom_mturk
152,"oxidative stress is one of the earliest events of alzheimer disease (ad), with implications as an important mediator in the onset, progression and pathogenesis of the disease",custom_mturk
153,hereditary arteriopathies such as cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy or cadasil have provided insights into the mechanisms of dementia associated with cerebral small vessel disease,custom_mturk
154,"prospectively, a low air predicts the development of diabetes in several populations",custom_mturk
155,"prospectively, a low air predicts the development of diabetes in several populations",custom_mturk
156,the generation of reactive oxygen species (ros) and its consequent cellula damage/response contributes to much of the hallmark ad pathology seen in susceptible neurons,custom_mturk
157,the generation of reactive oxygen species (ros) and its consequent cellula damage/response contributes to much of the hallmark ad pathology seen in susceptible neurons,custom_mturk
158,"in longitudinal studies, air declines dramatically as patients progress from normal to impaired glucose tolerance and ultimatly to diabetes",custom_mturk
159,"in longitudinal studies, air declines dramatically as patients progress from normal to impaired glucose tolerance and ultimatly to diabetes",custom_mturk
160,greater understanding of the neurochemical and molecular investigations is needed to better define microvascular disease and vascular substrates of dementia,custom_mturk
161,greater understanding of the neurochemical and molecular investigations is needed to better define microvascular disease and vascular substrates of dementia,custom_mturk
162,"the sources of ros mediated damage appear to be multi faceted in ad, with interactions between abnormal mitochondria, redox transition metals, and other factors",custom_mturk
163,the earliest cognitive impairment manifest at 4 months as a deficit in long term retention and correlates with the accumulation of intraneuronal abeta in the hippocampus and amygdala.,custom_mturk
164,"persons with aodm exhibited significantly increased risk of all dementia (poisson regression relative risk (rr) = 1.66, 95 percent confidence interval (cl) 1.34 2.05)",custom_mturk
165,"persons with aodm exhibited significantly increased risk of all dementia (poisson regression relative risk (rr) = 1.66, 95 percent confidence interval (cl) 1.34 2.05)",custom_mturk
166,"risk of alzheimer disease was also elevated (for men, rr = 2.27, 95 percent cl 1.55 3.31; for women, rr = 1.37, 95 percent cl 0.94 2.01)",custom_mturk
167,"risk of alzheimer disease was also elevated (for men, rr = 2.27, 95 percent cl 1.55 3.31; for women, rr = 1.37, 95 percent cl 0.94 2.01)",custom_mturk
168,"thus, loss of early insulin secretion initially leads to psot prandial hyperglycaemia which, as the disease progresses, worsens to clinical hyperglycaemia",custom_mturk
169,clearence of the intraneuronal abeta pathology by immunotherapy rescues the early cognitive deficits on a hippocampal dependent task.,custom_mturk
170,"if true, this might indicate a genetic basis for nonfamilial alzheimer disease",custom_mturk
171,reemergence of the abeta pathology again leads to cognitive deficits.,custom_mturk
172,reemergence of the abeta pathology again leads to cognitive deficits.,custom_mturk
173,strategies that enhance early insulin secretion improve glucose tolerance and represent a novel and more physiologic approach to improving glycaemic control in patients with type ii diabetes mellitus,custom_mturk
174,strategies that enhance early insulin secretion improve glucose tolerance and represent a novel and more physiologic approach to improving glycaemic control in patients with type ii diabetes mellitus,custom_mturk
175,pancreatic beta cells are strongly engaged in protein secretion and have highly developed endoplasmic reticulum (er),custom_mturk
176,pancreatic beta cells are strongly engaged in protein secretion and have highly developed endoplasmic reticulum (er),custom_mturk
177,"moreover, in brains from neurologically intact controls, incidental histologic lesions of alzheimer disease were observed more frequently in whites than blacks (p=0.01)",custom_mturk
178,these findings emphasize the importance of aodm prevention and prompt additional investigation of the relation between aodm and dementia,custom_mturk
179,these findings emphasize the importance of aodm prevention and prompt additional investigation of the relation between aodm and dementia,custom_mturk
180,this study strongly implicates intraneuronal abeta in the onset of cognitive dysfunction.,custom_mturk
181,this study strongly implicates intraneuronal abeta in the onset of cognitive dysfunction.,custom_mturk
182,these findings provide a strong argument in favor of genetic transmission of sporadic alzheimer disease,custom_mturk
183,these findings provide a strong argument in favor of genetic transmission of sporadic alzheimer disease,custom_mturk
184,"interest in the influence of sex hormones, particularly testosterone, on cognitive function in old men is increasing.",custom_mturk
185,"interest in the influence of sex hormones, particularly testosterone, on cognitive function in old men is increasing.",custom_mturk
186,"in the brain, androgen receptors (ar) colocalise with oestrogen receptors and are found mainly in the thalamus, hippocampus, and in the cerebral cortex (brain areas that are essential for learning and memory).",custom_mturk
187,"the loss of neocortical synapses correlates much more strongly with cognitive decrements than cell counts, and this loss occurs earlier and to a greater extent than death of the neuronal perikarya",custom_mturk
188,"the loss of neocortical synapses correlates much more strongly with cognitive decrements than cell counts, and this loss occurs earlier and to a greater extent than death of the neuronal perikarya",custom_mturk
189,"various conditions can perturb the protein folding in the er, which is collectively called er stress",custom_mturk
190,"various conditions can perturb the protein folding in the er, which is collectively called er stress",custom_mturk
191,"mechanisms by which testosterone could improve cognition and prevent cognitive impairment include modulation of neurotransmitters, stimulation of neuronal connectivity, decreased beta amyloid peptide production, and prevention of nmda excitotoxicity.",custom_mturk
192,"mechanisms by which testosterone could improve cognition and prevent cognitive impairment include modulation of neurotransmitters, stimulation of neuronal connectivity, decreased beta amyloid peptide production, and prevention of nmda excitotoxicity.",custom_mturk
193,it is to be recalled that a large cortical neuron may well have hundreds if not thousands of axonal terminals,custom_mturk
194,it is to be recalled that a large cortical neuron may well have hundreds if not thousands of axonal terminals,custom_mturk
195,"in familial forms of ad, mutations in the app or presenilin genes promote amyloidogenic app cleavage, leading to increased abeta production",custom_mturk
196,"in familial forms of ad, mutations in the app or presenilin genes promote amyloidogenic app cleavage, leading to increased abeta production",custom_mturk
197,"in order to adapt er stress conditions, the cells respond in three distinct ways such as transcriptional induction of er chaperones, translational attenuation, and er associated degradation (erad)",custom_mturk
198,"although several studies in young men have investigated the association of serum testosterone concentrations with cognitive function, few studies have been done in old men.",custom_mturk
199,"although several studies in young men have investigated the association of serum testosterone concentrations with cognitive function, few studies have been done in old men.",custom_mturk
200,present models of ad advocate that abeta accumulation in the tissue produces the neuronal dysfunction and death that underlies the dementia,custom_mturk
201,present models of ad advocate that abeta accumulation in the tissue produces the neuronal dysfunction and death that underlies the dementia,custom_mturk
202,"while loss of a large portion of those synapses may cause a clinical or physiologic change, the perikaryon will probably survive since it can still receive sufficient maintenance (trophic) factors from its remaining terminals",custom_mturk
203,"while loss of a large portion of those synapses may cause a clinical or physiologic change, the perikaryon will probably survive since it can still receive sufficient maintenance (trophic) factors from its remaining terminals",custom_mturk
204,"of these studies on old men, most, but not all, show that testosterone concentrations are positively associated with cognitive performance and negatively associated with risk of developing alzheimer disease (ad).",custom_mturk
205,"of these studies on old men, most, but not all, show that testosterone concentrations are positively associated with cognitive performance and negatively associated with risk of developing alzheimer disease (ad).",custom_mturk
206,"but it is quite conceivable that, at least in some instances, the major loss of presynaptic terminals is so great that it leads to inadequate reception and retrograde flow of maintenance factors, and that trophic deficiency will induce apoptosis and death of the neuronal soma",custom_mturk
207,"but it is quite conceivable that, at least in some instances, the major loss of presynaptic terminals is so great that it leads to inadequate reception and retrograde flow of maintenance factors, and that trophic deficiency will induce apoptosis and death of the neuronal soma",custom_mturk
208,"however, the mechanisms by which abeta produces neuronal dysfunction have not been elucidated in full",custom_mturk
209,"however, the mechanisms by which abeta produces neuronal dysfunction have not been elucidated in full",custom_mturk
210,"recent studies have revealed that beta cell is one of the most susceptible cells for er stress, and er stress mediated apoptosis in beta cells can be a cause of diabetes",custom_mturk
211,"recent studies have revealed that beta cell is one of the most susceptible cells for er stress, and er stress mediated apoptosis in beta cells can be a cause of diabetes",custom_mturk
212,"recently, a cag repeat polymorphism in the ar gene was reported to be associated with cognitive function in older men.",custom_mturk
213,"although abeta is well known to be cytotoxic, recent findings in transgenic mice overexpressing app have demonstrated that abeta also has profound effects on cerebrovascular regulation",custom_mturk
214,"although abeta is well known to be cytotoxic, recent findings in transgenic mice overexpressing app have demonstrated that abeta also has profound effects on cerebrovascular regulation",custom_mturk
215,"within the neuritic plaques there is a severe loss of synapses, which might be due to the toxic effects of the formed amyloid or of the soluble beta peptide",custom_mturk
