,dataset,sentences
78,custom_mturk,out of these roots has grown the amyloid cascade hypothesis a vision of the etiology of alzheimer that has spurred the discovery of many important insights into the neurobiology of the disease
79,custom_mturk,we found substantial evidence of linkage between the glucokinase locus and maturity onset diabetes of the young but not between this locus and late onset niddm
80,custom_mturk,"peroxisome proliferator activated receptor gamma (ppargamma) mediates the transcriptional enhancement of a number of genes encoding proteins that regulate lipid metabolism, suggesting a pivotal role in the adipogenic signaling cascade and lipid homeostasis"
81,custom_mturk,"in the secondary intervention cohort, intensive therapy slowed the progression of retinopathy by 54 percent (95 percent confidence interval, 39 to 66 percent) and reduced the development of proliferative severe nonproliferative retinopathy by 47 percent (95 percent confidence interval, 14 to 67 percent)"
82,custom_mturk,"not only missense mutations at or near the alpha , beta  and gamma secretase cleavage sites of app and in the presenilins but also increased expression of app per se can cause an increase in concentration of abeta42 and subsequent abeta deposition"
83,custom_mturk,the chief adverse event associated with intensive therapy was a two to threefold increase in severe hypoglycemia
84,custom_mturk,recent research has identified 2 potential mechanisms related to aging that may contribute to the development of the disease
85,custom_mturk,ample evidence has accumulated that oxidative damage to proteins and membrane lipids and an upregulation of antioxidant enzymes is associated with ad
86,custom_mturk,"insulitis (i.e., mononuclear cell infiltration of the pancreatic islets) is the direct result of the autoimmune process"
87,custom_mturk,"the toxic effects of beta amyloid are mediated, at least in part, through the generation of free radicals by the peptide"
88,custom_mturk,"the prominent role of protein aggregates in the pathology of alzheimer disease, frontotemporal dementia, dementia with lewy bodies, and creutzfeldt jakob disease is the most striking similarity"
89,custom_mturk,treatment strategies for alzheimer disease are focusing on preventing the development or speeding up the clearance of these aggregates
90,custom_mturk,"the predicted abnormal forms of 2 proteins relevant to the pathogenesis of ad, beta amyloid precursor protein and ubiquitin b, and their corresponding altered messenger rna have been found in the brains of patients with ad, but not in those of controls"
91,custom_mturk,"although a history of head trauma of sufficient severity to result in unconsciousness may increase the risk of developing ad, this likely makes a minor contribution to the burden of the disease"
92,custom_mturk,"a number of epidemiological studies have reported that poor education is an important risk factor for ad; others have found no correlation, however"
93,custom_mturk,"we describe two patients in whom complete deficiency of the glycolytic enzyme glucokinase, a key regulator of glucose metabolism in pancreatic beta cells that couples extracellular glucose to insulin secretion, caused permanent neonatal diabetes"
94,custom_mturk,diabetes results from a newly discovered mechanism whereby the basal magnesium nucleotide dependent stimulatory action of sur1 on the kir pore is elevated and blockade by sulfonylureas is preserved
95,custom_mturk,"as with other chronic diseases, generalisations of the prognoses of type 2 diabetes by means of mortality and survival statistics are of limited predictive value for individual outcomes"
96,custom_mturk,"although it is clear that microglia are intimately involved in the inflammatory response of the brain, especially to the amyloid deposits in alzheimer disease (ad), their role in the pathogenesis of the disease is less certain"
97,custom_mturk,"activated microglia can, in their response to insult, release reactive oxygen and nitrogen species, with one major consequence being damage to the local cellular environment"
98,custom_mturk,"although the nsaid data are encouraging, recommendations for chronic nsaid therapy in healthy elderly individuals are tempered by the well documented risk of gastrointestinal (gi) bleeding and ulceration"
99,custom_mturk,"declining gfr explains the age related increase in plasma thcy, and hyperfiltration explains the lower than normal mean plasma thcy and tcys concentrations in populations of diabetic patients"
100,custom_mturk,in these studies we used a doubly transgenic (tg) mouse model of amyloid deposition to test the working hypothesis that the benefit of nsaid use in diminishing the risk of ad is attributable to suppression of the microglial response
101,custom_mturk,"we compared the effects of a prototypical and nonselective nsaid demonstrated previously to reduce abeta deposition, ibuprofen, with the cox2 selective inhibitor celecoxib and the no releasing nsaid ncx 2216"
102,custom_mturk,"we compared the effects of a prototypical and nonselective nsaid demonstrated previously to reduce abeta deposition, ibuprofen, with the cox2 selective inhibitor celecoxib and the no releasing nsaid ncx 2216"
103,custom_mturk,"unexpectedly, we found that the no releasing nsaid activated microglia"
104,custom_mturk,"unexpectedly, we found that the no releasing nsaid activated microglia"
105,custom_mturk,"in parallel, we also found that this agent reduced abeta loads more than the other agents"
106,custom_mturk,"in parallel, we also found that this agent reduced abeta loads more than the other agents"
107,custom_mturk,"a past history of depressions, self reports of depressed mood, self blaming, hopeless and somatic delusions, an appetite disturbance and subacute onset identified the patients suffering from dementia caused by depression"
108,custom_mturk,"a past history of depressions, self reports of depressed mood, self blaming, hopeless and somatic delusions, an appetite disturbance and subacute onset identified the patients suffering from dementia caused by depression"
109,custom_mturk,the dyslipidaemia common in type ii diabetes (hypertriglyceridaemia and low serum levels of hdl cholesterol) is also a feature of natural and experimental acutephase reactions
110,custom_mturk,the dyslipidaemia common in type ii diabetes (hypertriglyceridaemia and low serum levels of hdl cholesterol) is also a feature of natural and experimental acutephase reactions
111,custom_mturk,"the evidence indicates a strong association between ad and cardiovascular risk factors, including apoe4, atrial fibrillation, thrombotic events, hypertension, hypotension, heart failure, high serum markers of inflammation, coronary artery disease, low cardiac index, and valvular pathology"
112,custom_mturk,"in elderly people whose cerebral perfusion is already diminished by their advanced age, additional reduction of cerebral blood flow stemming from abnormalities in the heart brain vascular loop ostensibly increases the probability of developing ad"
113,custom_mturk,"in elderly people whose cerebral perfusion is already diminished by their advanced age, additional reduction of cerebral blood flow stemming from abnormalities in the heart brain vascular loop ostensibly increases the probability of developing ad"
114,custom_mturk,"background neurologic abnormalities affecting gait occur early in several types of non alzheimer dementias, but their value in predicting the development of dementia is uncertain."
115,custom_mturk,"background neurologic abnormalities affecting gait occur early in several types of non alzheimer dementias, but their value in predicting the development of dementia is uncertain."
116,custom_mturk,the heterogeneity of cerebrovascular disease makes it challenging to elucidate the neuropathological substrates and mechanisms of vad as well as vascular cognitive impairment (vci)
117,custom_mturk,"the presence of neurologic gait abnormalities in elderly persons without dementia at base line is a significant predictor of the risk of development of dementia, especially non alzheimer dementia."
118,custom_mturk,"the presence of neurologic gait abnormalities in elderly persons without dementia at base line is a significant predictor of the risk of development of dementia, especially non alzheimer dementia."
119,custom_mturk,we review evidence that a long term cytokine mediated acute phase reaction occurs in type ii diabetes and is part of a wide ranging innate immune response
120,custom_mturk,we review evidence that a long term cytokine mediated acute phase reaction occurs in type ii diabetes and is part of a wide ranging innate immune response
121,custom_mturk,pathological diagnosis of suspected clinical vad requires adequate postmortem brain sampling and rigorous assessment methods to identify important substrates
122,custom_mturk,pathological diagnosis of suspected clinical vad requires adequate postmortem brain sampling and rigorous assessment methods to identify important substrates
123,custom_mturk,"the observed relation between high triglycerides, diabetes, and vascular dementia emphasizes the need for detection and treatment of vascular risk factors in older individuals in order to prevent the likelihood of clinical dementia."
124,custom_mturk,"the observed relation between high triglycerides, diabetes, and vascular dementia emphasizes the need for detection and treatment of vascular risk factors in older individuals in order to prevent the likelihood of clinical dementia."
125,custom_mturk,"choline acetyltransferase and acetylcholinesterase activities decreased significantly as the mean plaque count rose, and in depressed and demented subjects the reduction in choline acetyltransferase activity correlated with the extent of intellectual impairment as measured by a memory information test; muscarinic cholinergic receptor binding activity remained unchanged with increasing senile plaque formation but butyrylcholinesterase activity increased."
126,custom_mturk,"choline acetyltransferase and acetylcholinesterase activities decreased significantly as the mean plaque count rose, and in depressed and demented subjects the reduction in choline acetyltransferase activity correlated with the extent of intellectual impairment as measured by a memory information test; muscarinic cholinergic receptor binding activity remained unchanged with increasing senile plaque formation but butyrylcholinesterase activity increased."
127,custom_mturk,"the results suggest a close relation between changes in the cholinergic system and alzheimer dementia, but the precise role of the system in this disease remains to be elucidated."
128,custom_mturk,patients with type ii (non insulin dependent) diabetes mellitus manifest abnormalities in insulin action and insulin secretion
129,custom_mturk,patients with type ii (non insulin dependent) diabetes mellitus manifest abnormalities in insulin action and insulin secretion
130,custom_mturk,atherosclerotic and cardioembolic diseases appear the most common substrates of vascular brain injury or infarction
131,custom_mturk,atherosclerotic and cardioembolic diseases appear the most common substrates of vascular brain injury or infarction
132,custom_mturk,the investigation of genetic and other causes of alzheimer disease requires reliable and valid methods of gathering historical data on elderly relatives.
133,custom_mturk,"small vessel disease characterised by arteriolosclerosis and lacunar infarcts also causes cortical and subcortical microinfarcts, which appear to be the most robust substrates of cognitive impairment"
134,custom_mturk,"small vessel disease characterised by arteriolosclerosis and lacunar infarcts also causes cortical and subcortical microinfarcts, which appear to be the most robust substrates of cognitive impairment"
135,custom_mturk,diffuse wm changes with loss of myelin and axonal abnormalities are common to almost all subtypes of vad
136,custom_mturk,whether abnormalities in insulin secretion also precede and predict diabetes has been debated
137,custom_mturk,whether abnormalities in insulin secretion also precede and predict diabetes has been debated
138,custom_mturk,we discuss the concept that peripheral and central nervous system inflammation link the pathogenesis of ad and metabolic diseases
139,custom_mturk,we discuss the concept that peripheral and central nervous system inflammation link the pathogenesis of ad and metabolic diseases
140,custom_mturk,this scientific statement provides an overview of the evidence on vascular contributions to cognitive impairment and dementia.
141,custom_mturk,this scientific statement provides an overview of the evidence on vascular contributions to cognitive impairment and dementia.
142,custom_mturk,"however, recent studies clearly indicate that early insulin secretion plays a critical role in maintaining normal glucose homeostasis"
143,custom_mturk,"however, recent studies clearly indicate that early insulin secretion plays a critical role in maintaining normal glucose homeostasis"
144,custom_mturk,we also explore the contribution of brain inflammation to defective insulin signaling and neuronal dysfunction
145,custom_mturk,vascular contributions to cognitive impairment and dementia of later life are common.
146,custom_mturk,"last, we review recent evidence indicating that targeting neuroinflammation may provide novel therapeutic avenues for ad"
147,custom_mturk,"accordingly, the opposite trend was noted in the prevalence of antibody to the hepatitis b e antigen (anti hbe)"
148,custom_mturk,"accordingly, the opposite trend was noted in the prevalence of antibody to the hepatitis b e antigen (anti hbe)"
149,custom_mturk,progressive memory loss and cognitive dysfunction are the hallmark clinical features of alzheimer disease (ad).
150,custom_mturk,progressive memory loss and cognitive dysfunction are the hallmark clinical features of alzheimer disease (ad).
151,custom_mturk,"oxidative stress is one of the earliest events of alzheimer disease (ad), with implications as an important mediator in the onset, progression and pathogenesis of the disease"
152,custom_mturk,"oxidative stress is one of the earliest events of alzheimer disease (ad), with implications as an important mediator in the onset, progression and pathogenesis of the disease"
153,custom_mturk,hereditary arteriopathies such as cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy or cadasil have provided insights into the mechanisms of dementia associated with cerebral small vessel disease
154,custom_mturk,"prospectively, a low air predicts the development of diabetes in several populations"
155,custom_mturk,"prospectively, a low air predicts the development of diabetes in several populations"
156,custom_mturk,the generation of reactive oxygen species (ros) and its consequent cellula damage/response contributes to much of the hallmark ad pathology seen in susceptible neurons
157,custom_mturk,the generation of reactive oxygen species (ros) and its consequent cellula damage/response contributes to much of the hallmark ad pathology seen in susceptible neurons
158,custom_mturk,"in longitudinal studies, air declines dramatically as patients progress from normal to impaired glucose tolerance and ultimatly to diabetes"
159,custom_mturk,"in longitudinal studies, air declines dramatically as patients progress from normal to impaired glucose tolerance and ultimatly to diabetes"
160,custom_mturk,greater understanding of the neurochemical and molecular investigations is needed to better define microvascular disease and vascular substrates of dementia
161,custom_mturk,greater understanding of the neurochemical and molecular investigations is needed to better define microvascular disease and vascular substrates of dementia
162,custom_mturk,"the sources of ros mediated damage appear to be multi faceted in ad, with interactions between abnormal mitochondria, redox transition metals, and other factors"
163,custom_mturk,the earliest cognitive impairment manifest at 4 months as a deficit in long term retention and correlates with the accumulation of intraneuronal abeta in the hippocampus and amygdala.
164,custom_mturk,"persons with aodm exhibited significantly increased risk of all dementia (poisson regression relative risk (rr) = 1.66, 95 percent confidence interval (cl) 1.34 2.05)"
165,custom_mturk,"persons with aodm exhibited significantly increased risk of all dementia (poisson regression relative risk (rr) = 1.66, 95 percent confidence interval (cl) 1.34 2.05)"
166,custom_mturk,"risk of alzheimer disease was also elevated (for men, rr = 2.27, 95 percent cl 1.55 3.31; for women, rr = 1.37, 95 percent cl 0.94 2.01)"
167,custom_mturk,"risk of alzheimer disease was also elevated (for men, rr = 2.27, 95 percent cl 1.55 3.31; for women, rr = 1.37, 95 percent cl 0.94 2.01)"
168,custom_mturk,"thus, loss of early insulin secretion initially leads to psot prandial hyperglycaemia which, as the disease progresses, worsens to clinical hyperglycaemia"
169,custom_mturk,clearence of the intraneuronal abeta pathology by immunotherapy rescues the early cognitive deficits on a hippocampal dependent task.
170,custom_mturk,"if true, this might indicate a genetic basis for nonfamilial alzheimer disease"
171,custom_mturk,reemergence of the abeta pathology again leads to cognitive deficits.
172,custom_mturk,reemergence of the abeta pathology again leads to cognitive deficits.
173,custom_mturk,strategies that enhance early insulin secretion improve glucose tolerance and represent a novel and more physiologic approach to improving glycaemic control in patients with type ii diabetes mellitus
174,custom_mturk,strategies that enhance early insulin secretion improve glucose tolerance and represent a novel and more physiologic approach to improving glycaemic control in patients with type ii diabetes mellitus
175,custom_mturk,pancreatic beta cells are strongly engaged in protein secretion and have highly developed endoplasmic reticulum (er)
176,custom_mturk,pancreatic beta cells are strongly engaged in protein secretion and have highly developed endoplasmic reticulum (er)
177,custom_mturk,"moreover, in brains from neurologically intact controls, incidental histologic lesions of alzheimer disease were observed more frequently in whites than blacks (p=0.01)"
178,custom_mturk,these findings emphasize the importance of aodm prevention and prompt additional investigation of the relation between aodm and dementia
179,custom_mturk,these findings emphasize the importance of aodm prevention and prompt additional investigation of the relation between aodm and dementia
180,custom_mturk,this study strongly implicates intraneuronal abeta in the onset of cognitive dysfunction.
181,custom_mturk,this study strongly implicates intraneuronal abeta in the onset of cognitive dysfunction.
182,custom_mturk,these findings provide a strong argument in favor of genetic transmission of sporadic alzheimer disease
183,custom_mturk,these findings provide a strong argument in favor of genetic transmission of sporadic alzheimer disease
184,custom_mturk,"interest in the influence of sex hormones, particularly testosterone, on cognitive function in old men is increasing."
185,custom_mturk,"interest in the influence of sex hormones, particularly testosterone, on cognitive function in old men is increasing."
186,custom_mturk,"in the brain, androgen receptors (ar) colocalise with oestrogen receptors and are found mainly in the thalamus, hippocampus, and in the cerebral cortex (brain areas that are essential for learning and memory)."
187,custom_mturk,"the loss of neocortical synapses correlates much more strongly with cognitive decrements than cell counts, and this loss occurs earlier and to a greater extent than death of the neuronal perikarya"
188,custom_mturk,"the loss of neocortical synapses correlates much more strongly with cognitive decrements than cell counts, and this loss occurs earlier and to a greater extent than death of the neuronal perikarya"
189,custom_mturk,"various conditions can perturb the protein folding in the er, which is collectively called er stress"
190,custom_mturk,"various conditions can perturb the protein folding in the er, which is collectively called er stress"
191,custom_mturk,"mechanisms by which testosterone could improve cognition and prevent cognitive impairment include modulation of neurotransmitters, stimulation of neuronal connectivity, decreased beta amyloid peptide production, and prevention of nmda excitotoxicity."
192,custom_mturk,"mechanisms by which testosterone could improve cognition and prevent cognitive impairment include modulation of neurotransmitters, stimulation of neuronal connectivity, decreased beta amyloid peptide production, and prevention of nmda excitotoxicity."
193,custom_mturk,it is to be recalled that a large cortical neuron may well have hundreds if not thousands of axonal terminals
194,custom_mturk,it is to be recalled that a large cortical neuron may well have hundreds if not thousands of axonal terminals
195,custom_mturk,"in familial forms of ad, mutations in the app or presenilin genes promote amyloidogenic app cleavage, leading to increased abeta production"
196,custom_mturk,"in familial forms of ad, mutations in the app or presenilin genes promote amyloidogenic app cleavage, leading to increased abeta production"
197,custom_mturk,"in order to adapt er stress conditions, the cells respond in three distinct ways such as transcriptional induction of er chaperones, translational attenuation, and er associated degradation (erad)"
198,custom_mturk,"although several studies in young men have investigated the association of serum testosterone concentrations with cognitive function, few studies have been done in old men."
199,custom_mturk,"although several studies in young men have investigated the association of serum testosterone concentrations with cognitive function, few studies have been done in old men."
200,custom_mturk,present models of ad advocate that abeta accumulation in the tissue produces the neuronal dysfunction and death that underlies the dementia
201,custom_mturk,present models of ad advocate that abeta accumulation in the tissue produces the neuronal dysfunction and death that underlies the dementia
202,custom_mturk,"while loss of a large portion of those synapses may cause a clinical or physiologic change, the perikaryon will probably survive since it can still receive sufficient maintenance (trophic) factors from its remaining terminals"
203,custom_mturk,"while loss of a large portion of those synapses may cause a clinical or physiologic change, the perikaryon will probably survive since it can still receive sufficient maintenance (trophic) factors from its remaining terminals"
204,custom_mturk,"of these studies on old men, most, but not all, show that testosterone concentrations are positively associated with cognitive performance and negatively associated with risk of developing alzheimer disease (ad)."
205,custom_mturk,"of these studies on old men, most, but not all, show that testosterone concentrations are positively associated with cognitive performance and negatively associated with risk of developing alzheimer disease (ad)."
206,custom_mturk,"but it is quite conceivable that, at least in some instances, the major loss of presynaptic terminals is so great that it leads to inadequate reception and retrograde flow of maintenance factors, and that trophic deficiency will induce apoptosis and death of the neuronal soma"
207,custom_mturk,"but it is quite conceivable that, at least in some instances, the major loss of presynaptic terminals is so great that it leads to inadequate reception and retrograde flow of maintenance factors, and that trophic deficiency will induce apoptosis and death of the neuronal soma"
208,custom_mturk,"however, the mechanisms by which abeta produces neuronal dysfunction have not been elucidated in full"
209,custom_mturk,"however, the mechanisms by which abeta produces neuronal dysfunction have not been elucidated in full"
210,custom_mturk,"recent studies have revealed that beta cell is one of the most susceptible cells for er stress, and er stress mediated apoptosis in beta cells can be a cause of diabetes"
211,custom_mturk,"recent studies have revealed that beta cell is one of the most susceptible cells for er stress, and er stress mediated apoptosis in beta cells can be a cause of diabetes"
212,custom_mturk,"recently, a cag repeat polymorphism in the ar gene was reported to be associated with cognitive function in older men."
213,custom_mturk,"although abeta is well known to be cytotoxic, recent findings in transgenic mice overexpressing app have demonstrated that abeta also has profound effects on cerebrovascular regulation"
214,custom_mturk,"although abeta is well known to be cytotoxic, recent findings in transgenic mice overexpressing app have demonstrated that abeta also has profound effects on cerebrovascular regulation"
