azithromycin,ototoxicity
oolong tea,rhabdomyolysis
caffeine,delirium
caffeine,hyponatremia
caffeine,water intoxication
caffeine,caffeine toxicity
caffeine,coexisting hyponatremia
caffeine,injured the muscle cells
caffeine,potassium depletion
citalopram,8-hydroacy-desmethylclomipramine plasma level decrease
citalopram,desmethylclomipramine plasma level increase
indinavir,angiolipomas
clozapine,Elevated serum triglycerides
clozapine,serum triglyceride levels increased
clozapine,elevated serum triglyceride levels
valproate,hypotension
pyridostigmine,rippling phenomena worsened
theophylline,theophylline poisoning
theophylline,intoxication
Theophylline,Theophylline intoxication
ifosfamide,ifosfamide-induced encephalopathy
ifosfamide,encephalopathy
F VIII,Portal vein thrombosis
gliclazide,acute icteric hepatitis-like illness
Gliclazide,acute hepatitis
gliclazide,acute icteric liver necro-inflammation
TCA,Cushing's syndrome
nitrofurantoin,abnormal computed tomographic scans
nitrofurantoin,impaired lung function
nitrofurantoin,Bronchiolitis obliterans organising pneumonia
nitrofurantoin,BOOP
nitrofurantoin,lung disease
nitrofurantoin,fatal outcome
nitrofurantoin,nitrofurantoin induced BOOP
nitrofurantoin,lung injury
nitrofurantoin,respiratory symptoms
nitrofurantoin,nitrofurantoin induced lung injury
interferon-alpha,akathisia
interferon-alpha,neurotoxicity
cyclophosphamide,Acute erythroid leukemia
cyclophosphamide,carcinoma
UFT,Scleroderma-like reaction
uracil-tegafur,Scleroderma-like reaction
UFT,UFT-induced scleroderma-like reaction
ibuprofen,Central nervous system manifestations
Ibuprofen,dizziness
Ibuprofen,GI upset
Ibuprofen,mild sedation
ibuprofen,ibuprofen intoxication
ibuprofen,depressed level of consciousness
Flecainide,acute respiratory failure
Flecainide,pneumonitis
Flecainide,hypersensitivity pneumonitis
flecainide,interstitial hypoxaemiant pneumonitis
L-asparaginase,Sagittal sinus thrombosis
L-asparaginase,transient free protein S deficiency
L-asparaginase,seizure
L-asparaginase,transient ischemic attacks
minocycline,benign intracranial hypertension
vaccination against hepatitis B,polyarteritis nodosa
methotrexate,lung cancer
cocaine,refractory coronary vasospasm
troglitazone,liver injury
troglitazone,hepatotoxicity
troglitazone,irreversible liver injury
Troglitazone,fulminant hepatic failure
nitrofurantoin,distortion of the lung parenchyma
nitrofurantoin,fibrosis
nitrofurantoin,pulmonary toxicity
nitrofurantoin,widespread reticular pattern
Fluoxetine,death
fluoxetine,fluoxetine toxicity
zolmitriptan,spinal cord lesion
zolmitriptan,Spinal cord infarction
carboplatin,hypersensitivity
nimesulide,renal insufficiency
nimesulide,adverse effect of fetal renal circulation
etoposide,t-AML
etoposide,Secondary leukemia
Cyanamide,hepatic lesion with ground-glass inclusion bodies
cyanamide,general fatigue
cyanamide,fatigue
cyanamide,fever
cyanamide,elevation of serum transaminases
cyanamide,ground-glass hepatocytes
cyanamide,septum-like liver fibrosis
Cyanamide,liver dysfunction
cyanamide,inflammation
tacrolimus,sudden cutaneous reaction
morphine,nonconvulsive status epilepticus
naloxone,generalized tonic-clonic seizure
vasopressin,bacterial peritonitis
risperidone,EPS
risperidone,extrapyramidal symptoms
CHOP,multiple abscesses
ethambutol,anti-native DNA antibodies
ethambutol,hepatitis
ethambutol,polyarthritis
ethambutol,rash
rifampicin,anti-native DNA antibodies
rifampicin,hepatitis
rifampicin,Polyarthritis
methylprednisolone,normotensive scleroderma renal crisis
mitomycin C,HUS
carboplatin,Severe hemolytic uremic syndrome
gemcitabine,Severe hemolytic uremic syndrome
carboplatin,HUS
gemcitabine,HUS
valproate,menstrual cycle disturbances
sodium valproate,hyperandrogenism
sodium valproate,menstrual disorders
sodium valproate,polycystic ovaries
sodium valproate,Reproductive endocrine disorders
valproate,reproductive endocrine disorders
valproate,reproductive endocrine disorder
valproate,serum testosterone
valproate,amenorrhea
valproate,gained weight
valproate,polycystic changes
CyA,staphylococcus aureus sepsis
cyclosporine,lethal
cyclosporine,septicemia
colchicine,proximal muscle weakness
Colchicine,myopathy
colchicine,vacuolated fibers
colchicine,variation in muscle fiber size
paclitaxel,disabling neurotoxicity
paclitaxel,neurotoxicity
paclitaxel,Phantom limb pain
paclitaxel,PLP
phenylbutazone,serum sickness-like reactions
phenylbutazone,Skin manifestations
atenolol,atenolol toxicity
gemfibrozil,eosinophilic gastroenteritis
gemfibrozil,EGE
lamivudine,lactic acidosis
stavudine,lactic acidosis
propafenone,Ataxia
propafenone,adverse central nervous system effects
propafenone,dizziness
pilsicainide,loss of consciousness
pilsicainide,life-threatening arrhythmias
risperidone,dystonia
tiagabine,non-convulsive status epilepticus
lithium,organic brain syndromes
lithium,intense anxiety
lithium,neurotoxicity
lithium,psychotic symptoms
carbamazepine,carbamazepine toxicity
ritonavir,carbamazepine toxicity
saquinavir,carbamazepine toxicity
carbamazepine,progressive ataxia
ritonavir,progressive ataxia
saquinavir,progressive ataxia
Ritonavir,clinical toxicity
Ritonavir,diminishing carbamazepine metabolism
Ritonavir,increase in serum levels
calcitonin,Anaphylaxis
calcitonin,anaphylaxis 
Miacalcic,anaphylactic reaction
calcitonin,conjunctivitis
Calsynar,conjunctivitis
calcitonin,perspiration
Calsynar,perspiration
calcitonin,rhinitis
Calsynar,rhinitis
Minocycline,autoimmune hepatitis
L-asparaginase,central nervous toxicity
L-asparaginase,seizures
L-asparaginase,hemorrhagic
L-asparaginase,thrombotic cerebrovascular events
cilastatin,neutropenic fever
imipenem,neutropenic fever
cilastatin,seizures
imipenem,seizures
cilastatin,Proconvulsive
imipenem,Proconvulsive
cilastatin,convulsions
imipenem,convulsions
cilastatin,seizure
imipenem,seizure
Gabapentin,hypomanic
Gabapentin,mood changes
gabapentin,behavioural side effects
GBP,behavioural side effects
5-aminosalicylic acid,Acute pancreatitis
vigabatrin,visual field constriction
vigabatrin,visual field loss
vigabatrin,field defects
interferon,Depressive symptoms
IFN-alpha,psychiatric side effects
interferon alpha,psychiatric side effects
IFN-alpha,changes in serotonergic or noradrenergic neurotransmission
vancomycin,vancomycin toxicity
hyperbaric oxygen,morbidity
0.1% tretinoin cream,brown discolouration of the fingernails
4% hydroquinone in sorbolene cream,brown discolouration of the fingernails
hydroquinone,Nail staining
bleomycin,Gangrene
methotrexate,Gangrene
bleomycin,acral vascular toxicity
bleomycin,acute digital ischemia
methotrexate,acute digital ischemia
warfarin,Diarrhea-associated over-anticoagulation
warfarin,diarrhea
warfarin,over-anticoagulation
PCCs,MI
prothrombin complex concentrate,myocardial infarction
PCC,MI
quinine,thrombocytopenia
colchicine,colchicine intoxication
colchicine,Near fatal
fludarabine,Acute myeloid leukemia
fludarabine,lung cancer
fludarabine,AML
lithium carbonate,incontinence
paroxetine,incontinence
sertraline,incontinence
venlafaxine,incontinence
heparin,HIT
lead,high blood lead level
lead,hypertension
lead,lead-induced hypertension
lead,lead toxicity
nevirapine,Severe rash
nevirapine,SJS
nevirapine,Stevens-Johnson syndrome
acarbose,ileus
losartan,increases urate excretion
etanercept,Atrial fibrillation
methotrexate,Atrial fibrillation
cyclophosphamide,hepatic angiosarcoma
ARA-C,dermatologic toxicity
ARA-C,toxic epidermal necrolysis
ARA-C,"bullous lesions on the hands and soles that disseminated, evolving to necrosis"
ARA-C,death
ARA-C,sepsis
cytosine arabinoside,Toxic epidermal necrolysis
ARA-C,TEN
cytosine arabinoside,TEN
Quetiapine,obsessive-compulsive symptoms
Quetiapine,OCS
quetiapine,exacerbating OCS
clomipramine,serotonin syndrome
clozapine,serotonin syndrome
clomipramine,agitated
clozapine,agitated
clomipramine,behaving oddly
clozapine,behaving oddly
clomipramine,confused
clozapine,confused
clomipramine,shivering
clozapine,shivering
clomipramine,sweating profusely
clozapine,sweating profusely
clomipramine,tremulous
clozapine,tremulous
Quinine,coagulopathy
quinine,severe thrombocytopoaenia
olanzapine,leukopenia
olanzapine,agranulocytosis
5-FU,dermatologic and ocular 5-FU toxicities
5-FU,ectropion
5-FU,"tender, red, scaled lids"
5-fluorouracil,Ectropion
5-FU,dermatologic toxicities
acetazolamide,acute renal failure
acetazolamide,Renal failure
acetazolamide,calcium phosphate nephrolithiasis
meloxicam,Ischaemic colitis
meloxicam,endoscopic lesions
meloxicam,bloody diarrhoea
meloxicam,intestinal toxic effects
spironolactone,diarrhoea
spironolactone,"serious and, occasionally, fatal hyperkalaemia"
spironolactone,Serious adverse events
oxaliplatin,dermnatitis
clofazimine,severe enteropathy
Clofazimine,enteropathy
Clofazimine,life-threatening
Enoxaparin,severe urticarial rash
cibenzoline,blurred vision
cibenzoline,cardiac failure
cibenzoline,cibenzoline intoxication
cibenzoline,QRS broadening
fludarabine,aspergillus arthritis
fludarabine,aspergillus arthritis of the knee joint
fluvoxamine,increased libido
meglumine antimoniate,pancreatitis
IFN-alpha,Hashimoto's disease
IFN-alpha,autoimmune thyroiditis
IFN-alpha,thyroid disorders
interferon-alpha,Hashimoto's disease
omeprazole,peripheral edema
pantoprazole,peripheral edema
lansoprazole,Pheripheral edema
omeprazole,Pheripheral edema
pantoprazole,Pheripheral edema
levodopa,Motor fluctuations
leflunomide,weight loss
valacyclovir,neurotoxicity
cyproterone acetate,Avascular necrosis of the femoral head
cyproterone acetate,femoral head avascular necrosis
Levofloxacin,polymorphic ventricular tachycardia
ticlopidine,pulmonary side effects
ticlopidine,pulmonary symptoms
Ticlopidine,interstitial pulmonary disease
ticlopidine,lymphocytic colitis
methadone,myoclonus
succinylcholine,fatal hyperkalemia
Succinylcholine,hyperkalemia
ethanol injection,Cutaneous seeding
Adenosine,ventricular fibrillation
adenosine,acceleration of the ventricular rate
methylprednisolone,psychotic reaction
CBZ,seizures
CBZ,cortical hyperexcitability
CBZ,cranial nerve areflexia
CBZ,profound burst-suppression EEG pattern
CBZ,reversible encephalopathy
methimazole,bone marrow toxicity
methimazole,Massive plasmocytosis
MMI,massive plasmocytosis
MMI,pancytopenia
didanosine,fulminant hepatic failure
dexamethasone,bilateral avascular necrosis of the femoral heads
metformin,hemorrhage
metformin,severe inferior digestive hemorrhage
metformin,Digestive hemorrhage
gentamycin,Ulcer became worse
tobramycin,Ulcer became worse
amprenavir,intracranial bleeding
APV,bleeding
gemcitabine,cutaneous eruption
gemcitabine,LABD
gemcitabine,Linear immunoglobulin A bullous dermatosis
gemcitabine,linear immunoglobulin (Ig) A bullous dermatosis
gemcitabine,"symmetric, bullous, herpetiform eruption"
Vancomycin,LABD
taxol,peripheral neuropathy
paclitaxel,difficulty walking
taxol,difficulty walking
taxol,loss of proprioception
taxol,marked pain
morphine,spasm
morphine,biliary colic
morphine,pain
IFN-alpha,Myasthenia gravis
sodium aurothiomalate,intrahepatic cholestasis
5-fluorouracil,Acute lung injury
oxaliplatinum,Acute lung injury
5-fluorouracil,bilateral patchy pulmonary infiltrates
oxaliplatinum,bilateral patchy pulmonary infiltrates
5-fluorouracil,Diarrhoea
oxaliplatinum,Diarrhoea
5-fluorouracil,T-CD4+ lymphopenia
oxaliplatinum,T-CD4+ lymphopenia
5-fluorouracil,pulmonary adverse reaction
oxaliplatinum,pulmonary adverse reaction
Accutane,teratogenic
pranlukast,high fever
pranlukast,interstitial pneumonitis
ONO-1078,interstitial pneumonia
pranlukast,interstitial pneumonia
indinavir,renal colicky pain
Indinavir,interstitial nephritis
Indinavir,nephrolithiasis
indinavir,Papillary necrosis
indinavir,nephrotoxicity
rofecoxib,decline in glomerular filtration rate
LTG,encephalopathy
LTG,elevated serum LTG levels
lamotrigine,stuporous
LTG,stuporous
valproic acid,stuporous
VPA,stuporous
lamotrigine,encephalopathy
lamotrigine,Stupor
olanzapine,acute intoxication
olanzapine,dead
salsalate,Lichenoid drug eruption
salsalate,eruption
salsalate,lichenoid eruption
Amphotericin B,seizures
amphotericin B,grand mal seizures
amphotercin B,seizures
Didanosine,seizures
amphotericin B,seizure
bupivacaine,Vocal cord paralysis
bupivacaine,bilateral vocal cord paralysis
carbamazepine,right bundle branch block
dipivefrin,Cicatricial entropion
dipivefrin,entropion
dipivefrin,cicatrical entropion
sulphasalazine,constellation of dermatitis
sulphasalazine,fever
sulphasalazine,hepatitis
sulphasalazine,lymphadenopathy
sulphasalazine,fatal
sulphasalazine,immunoallergic reaction
sulphasalazine,sulphasalazine syndrome
CDDP,SIADH
cisplatin,SIADH
cisplatin,Syndrome of inappropriate secretion of ADH
VDS,SIADH
vindesine,SIADH
CDDP,syndrome of inappropriate secretion of antidiuretic hormone
cisplatin,syndrome of inappropriate secretion of antidiuretic hormone
VDS,syndrome of inappropriate secretion of antidiuretic hormone
vindesine,syndrome of inappropriate secretion of antidiuretic hormone
scopolamine,anisocoria
lorazepam,De novo absence status
lorazepam,nonconvulsive generalized status epilepticus
vincristine,life-threatening vincristine neurotoxicity
vincristine,severe neurotoxicity
vincristine,vincristine neurotoxicity
vincristine,severe motor neuropathy
amodiaquine,asymptomatic hepatitis
artesunate,asymptomatic hepatitis
amodiaquine,hepatitis
artesunate,hepatitis
8-methoxypsoralen,Systemic allergic contact dermatitis
8-MOP,Systemic allergic contact dermatitis
benztropine,abdominal pain
benztropine,confusion
benztropine,distention
quetiapine,Agranulocytosis
quetiapine,granulocytopenia
quetiapine,haematological adverse effects
Quetiapine,leucopenia
ofloxacin,toxic epidermal necrolysis
ofloxacin,Stevens-Johnson syndrome
G-CSF,multiple erythematous nodules
G-CSF,erythematous papular eruption
G-CSF,Neutrophilic dermatoses
granulocyte colony-stimulating factor,Neutrophilic dermatoses
G-CSF,neutrophilic skin lesions
granulocyte colony-stimulating factor,neutrophilic skin lesions
G-CSF,Painful
granulocyte colony-stimulating factor,Painful
G-CSF,skin eruptions
liothyronine,hyperthyroidism
Triiodothyronine,thyrotoxicosis
tiagabine,VFDs
tiagabine,visual field defects
mefloquine,Pulmonary toxicity
mefloquine,acute lung injury
mefloquine,diffuse alveolar damage
methanol,central blindness
methanol,visual impairment
octreotide,intrahepatic bile stasis
octreotide,bile sludge
octreotide,Gallstones
octreotide,Hepatolithiasis
octreotide,alters bile acid composition
octreotide,gallbladder stasis
octreotide,hasten intrahepatic sludge
octreotide,stone formation
tamoxifen,endometrial carcinoma
INH,drug eruptions
Isonicotinic acid hydrazide,anagen effluvium
Isonicotinic acid hydrazide,lichenoid eruption
INH,anagen effluvium
INH,lichenoid eruption
carbamazepine,Linear IgA bullous dermatosis
carbamazepine,LABD
metoclopramide,agitation
metoclopramide,confusion
metoclopramide,diaphoresis
metoclopramide,fever
metoclopramide,hypertension
metoclopramide,tachycardia
metoclopramide,tachypnea
metoclopramide,extrapyramidal reactions
sertraline,extrapyramidal reactions
venlafaxine,extrapyramidal reactions
metoclopramide,serotonin syndrome
sertraline,serotonin syndrome
venlafaxine,serotonin syndrome
metoclopramide,extrapyramidal movement disorders
sertraline,extrapyramidal movement disorders
venlafaxine,extrapyramidal movement disorders
metoclopramide,dysarthria
metoclopramide,movement disorder
metoclopramide,unresponsiveness
haloperidol,malignant neuroleptic syndrome
captopril,delated cutaneous reactions
Captopril,cutaneous side-effects
captopril,Dermatitis
captopril,cutaneous reaction
warfarin,hematochezia
Warfarin,bleeding
interferon alpha,dilated cardiomyopathy
interferon alpha,polymyositis
interferon alpha,cardiomyopathy
interferon alpha,muscle weakness
ethanol,neoplastic seeding
ethanol,subcutaneous metastasis
tamoxifen,Aggressive endometrial carcinoma
tamoxifen,endometrial disorders
tamoxifen,endometrial cancer
itraconazole,cholangiopathy
itraconazole,ductopenia
Itraconazole,cholestatic pattern of injury
Itraconazole,damage to the interlobular bile ducts
Itraconazole,liver injury
itraconazole,Hepatotoxicity
ketoconazole,hepatitis
itraconazole,liver damage
itraconazole,vanishing bile duct syndrome
itraconazole,hepatotoxic
porcine factor VIII,Thrombotic stroke
pFVIII,thrombotic left middle cerebral artery distribution stroke
pFVIII,thrombosis
interferon alfa,Cutaneous sarcoidosis
ribavirin,Cutaneous sarcoidosis
interferon alfa,granulomatosis
ribavirin,granulomatosis
interferon alfa,sarcoidosis
ribavirin,sarcoidosis
mirtazapine,SS
mirtazapine,serotonin syndrome
procarbazine,Pulmonary toxicity
interferon (IFN)-beta,proteinuria
interferon-beta,Minimal change nephrotic syndrome
IFN-beta,histological abnormalities of the glomerulus
ciprofloxacin,delayed elimination
methotrexate,delayed elimination
ciprofloxacin,toxicity
lansoprazole,thrombocytopenia
lansoprazole,thrombocytopenic
lansoprazole,platelet count decreased
amifostine,anaphylactoid reaction
amifostine,allergic reactions
amifostine,hypocalcemia
amifostine,hypotension
amifostine,nausea
amifostine,vomiting
amifostine,life-threatening anaphylactoid reaction
olanzapine,NMS
olanzapine,neuroleptic malignant syndrome
zuclopenthixol,painful erection
zuclopenthixol,Priapism
metamizole,sepsis
Metamizole,agranulocytosis
mitomycin,hemolytic-uremic syndrome
Levofloxacin,toxic epidermal necrolysis
levofloxacin,TEN
bleomycin,grand mal seizures
cisplatin,grand mal seizures
vinblastine,grand mal seizures
bleomycin,Posterior leukoencephalopathy
cisplatin,Posterior leukoencephalopathy
vinblastine,Posterior leukoencephalopathy
IL-2,hemorrhagic lesion
IL-2,pancytopenia
IL-2,toxic epidermal necrolysis
IL-2,cutaneous and hematologic toxicity
IL-2,mortality rate <3
interleukin-2,Toxic epidermal necrolysis
Gelofusine,anaphylactoid reaction
Gelofusine,Gelofusine allergy
valproate,hyperammonemia
valproate,mental status changes
Valproate,altered mental status
cyclophosphamide,Leiomyosarcoma
amisulpride,NMS
clozapine,NMS
risperidone,NMS
fludarabine,cough
fludarabine,fever
Fludarabine,lung disease
Fludarabine,lung toxicity
fludarabine,Multiple pulmonary nodules
fludarabine,pulmonary toxicity
fludarabine,pulmonary nodules
fludarabine,interstitial pneumonitis
Epoprostenol,erythroderma
epoprostenol,fever
epoprostenol,nausea
epoprostenol,rapidly progressive erythema
epoprostenol,scaling
epoprostenol,vomiting
ticlopidine,marrow aplasia
rosiglitazone,lower leg edema
pioglitazone,bilateral lower leg edema
rosiglitazone,"ankle, hand, and facial swelling"
verapamil,polymorphic ventricular tachycardia
Verapamil,proarrhythmic effect
verapamil,non-sustained polymorphic ventricular tachycardia
Epsilon-aminocaproic acid,renal complications
lidocaine,mydriasis
lidocaine,pupillary mydriasis
lidocaine,dilated pupils
2-deoxycoformycin,acute myeloid leukemia
2-deoxycoformycin,Myelodysplasia
2-chlorodeoxyadenosine,AML
vasopressin,ischemic skin complications
vasopressin,skin necrosis
Mitomycin-C,hemolytic uremic syndrome
cladribine,vasculitis
cladribine,Systemic vasculitis
cladribine,thrombocytopenia
D-penicillamine,mammary hyperplasias
Neothetazone,mammary hyperplasias
bucillamine,Gigantomastia
bucillamine,giant hypertrophy
D-penicillamine,mammary hyperplasia
bucillamine,giant mammary hyperplasia
valproic acid,FVS
valproate,developmental delay
valproate,distinctive facial appearance
valproate,fetal valproate syndrome
valproate,FVS
valproate,major and minor malformations
Valproate,Valproate embryopathy
cyclosporin a,Generalised pustular psoriasis
cyclosporin A,aggravation of the joint condition
cyclosporin A,generalised pustular exacerbation
ticlopidine,aplastic anemia
ticlopidine,neutropenic
Ticlopidine,TIAA
ticlopidine,cytotoxic effect
rofecoxib,Fixed drug eruption
Rofecoxib,herpetiform fixed drug eruption
Rofecoxib,red-brown lesion
thyroid hormone,hypothyroidism
gemcitabine,hemolytic-uremic syndrome
Gemcitabine,renal toxicity
amiodarone,optic neuropathy
amiodarone,corneal deposits
amiodarone HCl,color vision anomalies
amiodarone HCl,decreased vision
amiodarone HCl,glare
amiodarone HCl,"visual ""shining"
amiodarone,Visual changes
amiodarone,ocular effects
digoxin,ocular effects
digoxin,visual changes
benzalkonium,circumoral and pharyngeal burns
Zephiran,circumoral and pharyngeal burns
rifabutin,side-effect on retinal function
rifabutin,decreased vision
rifabutin,retinal damage
rifabutin,anterior segment deposits
rifabutin,Retinal dysfunction
rifabutin,visual disturbance
nefazodone,benzodiazepine withdrawal symptoms
mizoribin,SIADH
mizoribin,ADH hypersecretion
bredinin,SIADH
mizoribin,syndrome of inappropriate secretion of antidiuretic hormone
cyclosporin,lymphoma
methotrexate,lymphoma
interferon-alpha,nephrotic syndrome
interferon beta-1a,seizures
clomipramine,extrapyramidal symptoms
interferon beta-1a,extrapyramidal symptoms
clomipramine,Seizures
carboplatin,collapsed
cyclophosphamide,collapsed
Carboplatin,coronary vasospasm
carboplatin,hyperacute changes on ECG
methazolamide,acute respiratory failure
Neptazane,acute respiratory failure
methazolamide,metabolic acidosis
Neptazane,metabolic acidosis
Capecitabine,allergic reactions
capecitabine,allergic reaction
capecitabine,dizziness
capecitabine,generalized rash
capecitabine,itching
capecitabine,sore throat
methylprednisolone,steroid diabetes
methylprednisolone,glycemia
cytarabine,PPE
cytarabine,palmar-plantar erythrodysaesthesia
cytarabine,bullous eruption
tamoxifen,malignant transformation of endometriosis
tamoxifen,Ovarian cancer
tamoxifen,Ovarian endometrioid adenocarcinoma
metronidazole,"Clinical, spectroscopic, and imaging abnormalities"
metronidazole,lactate elevation
metronidazole,Reversible MR imaging and MR spectroscopy abnormalities
cisplatin,anaphylaxis
isradipine,hepatocellular injury
clarithromycin,increasing the hepatic toxicity
isradipine,increasing the hepatic toxicity
clarithromycin,fulminant liver failure
clarithromycin,fulminant hepatic failure
clarithromycin,liver failure
brimonidine,paradoxical ocular effect
brimonidine,paradoxical raised IOP
brimonidine,paradoxical effect
Brimonidine,IOP elevation
gabapentin,anxiety
gabapentin,diaphoresis
gabapentin,generalized seizures
gabapentin,palpitations
gabapentin,status epilepticus
zonisamide,altered mental status
zonisamide,visual hallucinations
Doxycycline,hypoglycemia
MTX,anaphylactic reactions
MTX,chest tightness
MTX,cough
MTX,diffuse urticaria
MTX,facial swelling
MTX,hypersensitivity reaction
MTX,allergy
methotrexate,systemic anaphylaxis
cytarabine,Balint syndrome
methotrexate,Balint syndrome
cytarabine,posterior leukoencephalopathy
methotrexate,posterior leukoencephalopathy
Melphalan,GTBM
L-asparaginase,cortical venous thrombosis
L-asparaginase,dural puncture headache
sirolimus,Interstitial pneumonitis
Rapamycin,pneumonitis
sirolimus,pneumonitis
Rapamycin,pulmonary infiltrate
sirolimus,pulmonary infiltrate
SR,pulmonary infiltrate
Rapammune,hyperlipidemia
Rapamycin,hyperlipidemia
sirolimus,hyperlipidemia
SR,hyperlipidemia
Rapammune,hypertension
Rapamycin,hypertension
sirolimus,hypertension
SR,hypertension
Rapammune,infection
Rapamycin,infection
sirolimus,infection
SR,infection
Rapammune,myelosuppression
Rapamycin,myelosuppression
sirolimus,myelosuppression
SR,myelosuppression
lithium,fever
olanzapine,fever
lithium,generalized rigidity
olanzapine,generalized rigidity
lithium,increased serum transaminase and creatine kinase
olanzapine,increased serum transaminase and creatine kinase
lithium,leukocytosis
olanzapine,leukocytosis
lithium,NMS
lithium,Neuroleptic malignant syndrome
6-MP,hepatotoxicity
AZA,hepatotoxicity
6-thioguanine,Hepatotoxicity
thiopurine,hepatic injury
6-TG,abnormal liver enzymes
6-TG,liver enzyme abnormalities
6-TG,elevation of serum transaminases
lisinopril,multiorgan failure
cyclophosphamide,panhypogammaglobulinaemia
prednisolone,panhypogammaglobulinaemia
propranolol,Fulminant hepatic failure
propylthiouracil,Fulminant hepatic failure
propylthiouracil,Fulminant hepatitis
propylthiouracil,hepatic injury
propylthiouracil,submassive hepatic necrosis
risperidone,hypothermia
clozapine,Akathisia
lithium,blindness
lithium,CPM
lithium,Central pontine myelinolysis
