raw_sentence,cause,effect,NP,C,question,score,noun_phrases
"distal sensory and sensorimotor neuropathies are the most common manifestations of peripheral nerve disease in primary sj\u00f6gren syndrome.
",peripheral nerve disease,sensorimotor neuropathies,T,T,What is the cause of sensorimotor neuropathies?,0.882,"['common manifestations', 'distal sensory', 'peripheral nerve disease', 'primary sj\\u00f6gren syndrome', 'sensorimotor neuropathies']"
"cns manifestations associated with primary sj\u00f6gren syndrome include focal central lesions, conditions that mimic multiple sclerosis, encephalitis, aseptic meningitis, cerebellar syndromes, movement disorders, and problems with memory, cognition, and depression.
","encephalitis,",aseptic meningitis,T,F,What is the cause of aseptic meningitis?,0.951,"['aseptic meningitis', 'central lesions', 'cerebellar syndromes', 'cns manifestations', 'conditions', 'encephalitis', 'focal central lesions', 'movement disorders', 'multiple sclerosis', 'primary sj\\u00f6gren syndrome', 'problems', 'that']"
"some leads may be found in the biochemistry which often is found disturbed in an, although normalization in many aspects is seen at recovery from undernutrition.
",undernutrition.,which,F,F,What is the cause of which?,0.918,"['normalization', 'some leads', 'which']"
"recent genome-wide association studies support that genetic factors play a role in the pathophysiology of an, of which some are independent of bmi-related mechanisms.
",genetic factors,a role,T,F,What is the cause of a role?,0.942,"['a role', 'genetic factors', 'recent genome-wide association studies', 'recent genome-wide association studies support']"
"""'interstitial lung diseases, especially lymphoproliferative disorders such as follicular bronchiolitis and lymphoid interstitial pneumonia, are commonly seen in association with sj\u00f6gren syndrome.
","""'interstitial lung diseases,",especially lymphoproliferative disorders,T,F,What is the cause of especially lymphoproliferative disorders?,0.952,"['""\'interstitial lung diseases', ""'interstitial lung diseases"", 'especially lymphoproliferative disorders', 'follicular bronchiolitis', 'lymphoid interstitial pneumonia', 'lymphoproliferative disorders', 'sj\\u00f6gren syndrome']"
"the cystic pattern associated with sj\u00f6gren syndrome had a characteristic appearance on chest ct images.
",cystic pattern,sj\u00f6gren syndrome,T,T,What is the cause of sj\u00f6gren syndrome?,0.885,"['a characteristic appearance', 'characteristic appearance', 'chest ct images', 'cystic pattern', 'sj\\u00f6gren syndrome', 'the cystic pattern']"
"typical features included a wide variation in cyst size, internal structure within cysts, geographic simplification of parenchymal architecture producing a \""dissolving lung appearance,\"" perivascular and often basilar-predominant distribution, and frequent association with ground-glass opacities and nodules.
",geographic simplification,parenchymal architecture,T,F,What is the cause of parenchymal architecture?,0.974,"['a \\""dissolving lung appearance,\\', 'a wide variation', 'basilar-predominant distribution', 'cyst size', 'frequent association', 'geographic simplification', 'ground-glass opacities', 'internal structure', 'lung appearance', 'parenchymal architecture', 'typical features', 'wide variation']"
"we performed a nationwide cohort study to explore the potential relation between dermatomyositis and sj\u00f6gren syndrome and, if an association exists, to elucidate whether it varies by sex.
",dermatomyositis,sj\u00f6gren syndrome,F,T,What is the cause of sj\u00f6gren syndrome?,0.998,"['a nationwide cohort study', 'an association', 'association exists', 'it', 'nationwide cohort study', 'potential relation', 'sex', 'sj\\u00f6gren syndrome', 'the potential relation', 'we']"
"there was a positive association of having sj\u00f6gren syndrome among patients with dermatomyositis after adjusting for age, sex, rheumatoid arthritis, systemic lupus erythematosus and systemic sclerosis (hr 2.67, 95% ci 2.01-3.54).
",systemic sclerosis,95%,F,F,What is the cause of 95%?,0.938,"['% ci 2.01-3.54', '(hr', '95%', 'positive association', 'rheumatoid arthritis', 'sj\\u00f6gren syndrome', 'systemic lupus erythematosus', 'systemic sclerosis', 'there']"
"the histopathology results of a minor salivary biopsy, the presence of anti-ssa/ro antibody, and keratoconjunctivitis confirmed the diagnosis of sj\u00f6gren syndrome.
",keratoconjunctivitis,sj\u00f6gren syndrome,T,T,What is the cause of sj\u00f6gren syndrome?,0.998,"['anti-ssa/ro antibody', 'histopathology results', 'keratoconjunctivitis', 'minor salivary biopsy', 'sj\\u00f6gren syndrome', 'the diagnosis', 'the histopathology', 'the presence']"
"commonly observed features in previously reported patients with childhood sj\u00f6gren syndrome and central nervous system complications have included fever at the time of neurologic presentation, cerebrospinal fluid pleocytosis, abnormal neuroimaging, and positivity for several specific antibodies.
",fever,neurologic presentation,F,F,What is the cause of neurologic presentation?,0.997,"['abnormal neuroimaging', 'central nervous system complications', 'cerebrospinal fluid pleocytosis', 'childhood sj\\u00f6gren syndrome', 'commonly observed features', 'fever', 'neurologic presentation', 'positivity', 'specific antibodies']"
"their following characteristics were recorded: clinical features, number and localisation of lesions, serology and other associated medical conditions.
",serology,medical conditions,F,T,What is the cause of medical conditions?,0.883,"['medical conditions', 'their following characteristics']"
"modestly constant features were somatic growth retardation, skeletal abnormalities and pyramidal tract signs.
","somatic growth retardation,",skeletal abnormalities,T,F,What is the cause of skeletal abnormalities?,0.919,"['constant features', 'modestly constant features', 'pyramidal tract signs', 'skeletal abnormalities', 'somatic growth retardation']"
"based on sil1 expression studies we speculate that this may arise from a uniform effect of different mutations on protein expression. '""
",protein expression.,different mutations,T,T,What is the cause of different mutations?,0.802,"['different mutations', 'protein expression', 'sil1 expression studies', 'uniform effect', 'we']"
"our results showed that germ-free mice had significantly greater corneal barrier disruption, greater goblet cell loss, and greater total inflammatory cell and cd4\u207a t cell infiltration within the lacrimal gland compared to the conventionally housed group.
","corneal barrier disruption,",greater goblet cell loss,T,F,What is the cause of greater goblet cell loss?,0.853,"['cd4\\u207a t cell infiltration', 'corneal barrier disruption', 'germ-free mice', 'goblet cell loss', 'greater goblet cell loss', 'lacrimal gland', 'our results', 'significantly greater corneal barrier disruption', 'total inflammatory cell']"
"although common in adults, the prevalence and prognosis of childhood sj\u00f6gren syndrome are unknown, in part due to lack of child-specific diagnostic and classification criteria.
",lack of child-specific diagnostic and classification criteria.,childhood sj\u00f6gren syndrome,T,T,What is the cause of childhood sj\u00f6gren syndrome?,0.898,"['child-specific diagnostic', 'childhood sj\\u00f6gren syndrome', 'classification criteria', 'prognosis', 'the prevalence']"
"specific recent notable findings in sj\u00f6gren syndrome pathogenesis include identification of a type ii interferon signature in salivary glands of sj\u00f6gren syndrome patients, characterization of salivary gland-infiltrating t-cell subsets, and characterization of antimuscarinic acetylcholine receptor type 3 autoantibodies.
",salivary gland-infiltrating,t-cell subsets,F,F,What is the cause of t-cell subsets?,0.879,"['antimuscarinic acetylcholine receptor type', 'characterization', 'identification', 'salivary glands', 'sj\\u00f6gren syndrome pathogenesis', 'sj\\u00f6gren syndrome patients', 'specific recent notable findings', 't-cell subsets', 'type ii interferon signature']"
"interstitial lung disease is one of the most serious pulmonary complications, and the early diagnosis is essential to initiate a prompt therapy.
",interstitial lung disease,serious pulmonary complications,T,T,What is the cause of serious pulmonary complications?,0.981,"['a prompt therapy', 'early diagnosis', 'interstitial lung disease', 'serious pulmonary complications', 'the early diagnosis']"
"the effect of autoimmune disease on pregnancy differs according to the type of maternal disease, disease activity, severity of organ damage, antibody profile, and drug treatment.
","organ damage,",severity,T,T,What is the cause of severity?,0.929,"['antibody profile', 'autoimmune disease', 'disease activity', 'drug treatment', 'maternal disease', 'organ damage', 'pregnancy differs', 'severity', 'the effect']"
