true_label,true_sent,pred_label,pres_sent
0,Aedes aegypti and yellow fever virus: the effect of chloroquine on infection and transmission rates.,1,Aedes aegypti and yellow fever virus: the effect of chloroquine on infection and transmission rates.
0,Isolation of yellow fever virus from African mosquitoes.,0,Isolation of yellow fever virus from African mosquitoes.
1,Comparative genome analysis of the yellow fever mosquito Aedes aegypti with Drosophila melanogaster and the malaria vector mosquito Anopheles gambiae.,0,Comparative genome analysis of the yellow fever mosquito Aedes aegypti with Drosophila melanogaster and the malaria vector mosquito Anopheles gambiae.
0,92The conquest of yellow fever: the Rockefeller Foundation.,0,The conquest of yellow fever: the Rockefeller Foundation.
0,[Inoculation of men with yellow fever in Veracruz in the beginning of the 20th century].,0,[Inoculation of men with yellow fever in Veracruz in the beginning of the 20th century].
0,Immunizations for international travel.,0,Immunizations for international travel.
1,[The evolution of knowledge about viral hepatitis in Amazon region: from epidemiology and etiology to the prophilaxy].,0,[The evolution of knowledge about viral hepatitis in Amazon region: from epidemiology and etiology to the prophilaxy].
0,"Health requirements for pilgrims attending the Hajj in Mecca, Kingdom of Saudi Arabia, 24-29 October 2012.",1,"Health requirements for pilgrims attending the Hajj in Mecca, Kingdom of Saudi Arabia, 24-29 October 2012."
1,Using a climate-dependent model to predict mosquito abundance: application to Aedes (Stegomyia) africanus and Aedes (Diceromyia) furcifer (Diptera: Culicidae).,0,Using a climate-dependent model to predict mosquito abundance: application to Aedes (Stegomyia) africanus and Aedes (Diceromyia) furcifer (Diptera: Culicidae).
1,Structural and Nonstructural Genes Contribute to the Genetic Diversity of RNA Viruses.,1,Structural and Nonstructural Genes Contribute to the Genetic Diversity of RNA Viruses.
1,Progress in the control of yellow fever in Africa.,0,Progress in the control of yellow fever in Africa.
0,Interferon independence of genetically controlled resistance to flaviviruses.,0,Interferon independence of genetically controlled resistance to flaviviruses.
0,Yellow fever: from colonial Philadelphia and Baltimore to the mid-twentieth century.,0,Yellow fever: from colonial Philadelphia and Baltimore to the mid-twentieth century.
1,Efficient transformation of the yellow fever mosquito Aedes aegypti using the piggyBac transposable element vector pBac[3xP3-EGFP afm].,1,Efficient transformation of the yellow fever mosquito Aedes aegypti using the piggyBac transposable element vector pBac[3xP3-EGFP afm].
1,Size heterogeneity in the 3' noncoding region of South American isolates of yellow fever virus.,1,Size heterogeneity in the 3 noncoding region of South American isolates of yellow fever virus.
0,[Study on the application of geographic information system in spatial distribution of hemorrhage fever with renal syndrome in China].,0,[Study on the application of geographic information system in spatial distribution of hemorrhage fever with renal syndrome in China].
0,[The incorporation of activities to control dengue by community health agents].,0,[The incorporation of activities to control dengue by community health agents].
0,[Recommendations for traveling].,0,[Recommendations for traveling].
0,"Report on Yellow Fever in the Republic of Mexico from October 31, 1901, to September 30, 1902.",0,"Report on Yellow Fever in the Republic of Mexico from October 31, 1901, to September 30, 1902."
0,Safety and immunogenicity of a chimeric vaccine for West Nile virus in aged subjects.,0,Safety and immunogenicity of a chimeric vaccine for West Nile virus in aged subjects.
0,Letter: Hepatitis with hindsight.,0,Letter: Hepatitis with hindsight.
0,Viral Hemorrhagic Fevers Other than Ebola and Lassa.,0,Viral Hemorrhagic Fevers Other than Ebola and Lassa.
0,Viral complacency.,0,Viral complacency.
0,[Current data. 1. Infectious diseases: number of reported cases and registered deaths in 1974 and in 1975].,0,[Current data. 1. Infectious diseases: number of reported cases and registered deaths in 1974 and in 1975].
1,Alterations of pr-M cleavage and virus export in pr-M junction chimeric dengue viruses.,1,Alterations of pr-M cleavage and virus export in pr-M junction chimeric dengue viruses.
1,"Vaccination against yellow fever in French Guiana: The impact of educational level, negative beliefs and attitude towards vaccination.",1,"Vaccination against yellow fever in French Guiana: The impact of educational level, negative beliefs and attitude towards vaccination."
0,An economic evaluation of vector control in the age of a dengue vaccine.,0,An economic evaluation of vector control in the age of a dengue vaccine.
1,Exotic emerging viral diseases: progress and challenges.,0,Exotic emerging viral diseases: progress and challenges.
1,Yellow Fever Virus: Diagnostics for a Persistent Arboviral Threat.,1,Yellow Fever Virus: Diagnostics for a Persistent Arboviral Threat.
1,William Crawford Gorgas. He set the standard of military preventive medicine.,0,William Crawford Gorgas. He set the standard of military preventive medicine.
0,The sample processing time interval as an influential factor in flow cytometry analysis of lymphocyte subsets.,1,The sample processing time interval as an influential factor in flow cytometry analysis of lymphocyte subsets.
0,Flavivirus Cross-Reactivity to Dengue Nonstructural Protein Antigen Detection Assays.,1,Flavivirus Cross-Reactivity to Dengue Nonstructural Protein 1 Antigen Detection Assays.
0,Immunization for overseas travel.,0,Immunization for overseas travel.
0,"[Knowledge, attitudes and practices of populations towards mosquitoes in urban and rural area (C\'f4te d'Ivoire--West Africa)].",0,"[Knowledge, attitudes and practices of populations towards mosquitoes in urban and rural area (Côte dIvoire--West Africa)]."
0,Eradicating polio: today's challenges and tomorrow's legacy.,0,Eradicating polio: todays challenges and tomorrows legacy.
1,Yellow fever vaccine. IV. Reactogenicity and antibody response in volunteers inoculated with a vaccine free from contaminating avian leukosis viruses.,1,Yellow fever vaccine. IV. Reactogenicity and antibody response in volunteers inoculated with a vaccine free from contaminating avian leukosis viruses.
0,Some data on the immunity of mice to yellow fever virus.,0,Some data on the immunity of mice to yellow fever virus.
1,Modelling the immunological response to a tetravalent dengue vaccine from multiple phase-2 trials in Latin America and South East Asia.,1,Modelling the immunological response to a tetravalent dengue vaccine from multiple phase-2 trials in Latin America and South East Asia.
0,To err is human: Clinical incident calls to a national travel health advice line.,0,To err is human: Clinical incident calls to a national travel health advice line.
0,[Abnormality in the behaviour of mice after an experimental encephalitis by yellow fever virus 17 D. Experiment model(author's transl)].,1,[Abnormality in the behaviour of mice after an experimental encephalitis by yellow fever virus 17 D. Experiment model(authors transl)].
0,[Yellow fever virus].,0,[Yellow fever virus].
1,"Seroconversion in patients with rheumatic diseases treated with immunomodulators or immunosuppressants, who were inadvertently revaccinated against yellow fever.",1,"Seroconversion in patients with rheumatic diseases treated with immunomodulators or immunosuppressants, who were inadvertently revaccinated against yellow fever."
0,"Yellow fever, cholera, and the beginnings of medical cartography.",0,"Yellow fever, cholera, and the beginnings of medical cartography."
1,Breeding structure of Aedes aegypti populations in Mexico varies by region.,0,Breeding structure of Aedes aegypti populations in Mexico varies by region.
0,"[Recovery of yellow fever virus from a sentinel monkey in the vicinity of Belem, Brazil].",0,"[Recovery of yellow fever virus from a sentinel monkey in the vicinity of Belem, Brazil]."
0,[Pathophysiological mechanisms of dengue fever: critical review of current concepts].,0,[Pathophysiological mechanisms of dengue fever: critical review of current concepts].
0,"Yellow fever in West Africa, 1942.",0,"Yellow fever in West Africa, 1942."
0,FELIX PASCALIS-OUVI'ERE AND THE YELLOW FEVER EPIDEMIC OF 1797.,0,FELIX PASCALIS-OUVIERE AND THE YELLOW FEVER EPIDEMIC OF 1797.
0,[Problem of sequelae of postvaccinal amaril encephalitis].,0,[Problem of sequelae of postvaccinal amaril encephalitis].
0,"A public health risk assessment for yellow fever vaccination: a model exemplified by an outbreak in the state of S\'e3o Paulo, Brazil.",0,"A public health risk assessment for yellow fever vaccination: a model exemplified by an outbreak in the state of São Paulo, Brazil."
1,Development and characterization of a packaging cell line for pseudo-infectious yellow fever virus particle generation.,0,Development and characterization of a packaging cell line for pseudo-infectious yellow fever virus particle generation.
0,"Veterinary immunology as colonial science: method and quantification in the investigation of horsesickness in South Africa, C. 1905-1945.",0,"Veterinary immunology as colonial science: method and quantification in the investigation of horsesickness in South Africa, C. 1905-1945."
0,Crystal structure of the dengue virus RNA-dependent RNA polymerase catalytic domain at 1.85-angstrom resolution.,0,Crystal structure of the dengue virus RNA-dependent RNA polymerase catalytic domain at 1.85-angstrom resolution.
0,The novel isoxazoline ectoparasiticide fluralaner: selective inhibition of arthropod,0,The novel isoxazoline ectoparasiticide fluralaner: selective inhibition of arthropod ?-aminobutyric acid- and L-glutamate-gated chloride channels and insecticidal/acaricidal activity.
0,Use of a surrogate chimeric virus to detect West Nile virus-neutralizing antibodies in avian and equine sera.,0,Use of a surrogate chimeric virus to detect West Nile virus-neutralizing antibodies in avian and equine sera.
0,Erythrosin B is a potent and broad-spectrum orthosteric inhibitor of the flavivirus NS2B-NS3 protease.,0,Erythrosin B is a potent and broad-spectrum orthosteric inhibitor of the flavivirus NS2B-NS3 protease.
0,[Preventive vaccination of tourists in the tropics].,0,[Preventive vaccination of tourists in the tropics].
0,"INCIDENCE of disease. Foreign reports; reports of cholera, plague, smallpox, typhus fever, and yellow fever received during the current week.",0,"INCIDENCE of disease. Foreign reports; reports of cholera, plague, smallpox, typhus fever, and yellow fever received during the current week."
1,Hubris: the recurring pandemic.,1,Hubris: the recurring pandemic.
1,Pharmacological validation of an inward-rectifier potassium (Kir) channel as an insecticide target in the yellow fever mosquito Aedes aegypti.,1,Pharmacological validation of an inward-rectifier potassium (Kir) channel as an insecticide target in the yellow fever mosquito Aedes aegypti.
0,Toxicity of the blue-green alga Oscillatoria agardhii to the mosquito Aedes aegypti and the shrimp Artemia salina.,0,Toxicity of the blue-green alga Oscillatoria agardhii to the mosquito Aedes aegypti and the shrimp Artemia salina.
1,Studies on cyclic passage of yellow fever virus in South American mammals and mosquitoes; marsupials (Metachirus nudicaudatus and Marmosa) in combination with Aedes aegypti as vector.,1,Studies on cyclic passage of yellow fever virus in South American mammals and mosquitoes; marsupials (Metachirus nudicaudatus and Marmosa) in combination with Aedes aegypti as vector.
1,The kinase inhibitor SFV785 dislocates dengue virus envelope protein from the replication complex and blocks virus assembly.,1,The kinase inhibitor SFV785 dislocates dengue virus envelope protein from the replication complex and blocks virus assembly.
0,Vaccinating in disease-free regions: a vaccine model with application to yellow fever.,0,Vaccinating in disease-free regions: a vaccine model with application to yellow fever.
0,Leptospira Genomospecies and Sequence Type Prevalence in Small Mammal Populations in Germany.,0,Leptospira Genomospecies and Sequence Type Prevalence in Small Mammal Populations in Germany.
0,[Yellow fever in Brazil: memories of a medical doctor from the Rockefeller Foundation].,0,[Yellow fever in Brazil: memories of a medical doctor from the Rockefeller Foundation].
0,[Not Available].,0,[Not Available].
1,"Yellow fever vaccination coverage following massive emergency immunization campaigns in rural Uganda, May 2011: a community cluster survey.",1,"Yellow fever vaccination coverage following massive emergency immunization campaigns in rural Uganda, May 2011: a community cluster survey."
1,Understanding the role of innate immunity in the mechanism of action of the live attenuated Yellow Fever Vaccine 17D.,0,Understanding the role of innate immunity in the mechanism of action of the live attenuated Yellow Fever Vaccine 17D.
0,Zika virus: An emerging flavivirus.,0,Zika virus: An emerging flavivirus.
0,Complete nucleotide sequence of yellow fever virus vaccine strains 17DD and 17D-213.,0,Complete nucleotide sequence of yellow fever virus vaccine strains 17DD and 17D-213.
1,"Isolation of yellow fever virus from mosquitoes in Misiones province, Argentina.",1,"Isolation of yellow fever virus from mosquitoes in Misiones province, Argentina."
1,"Zika, Chikungunya, and Other Emerging Vector-Borne Viral Diseases.",0,"Zika, Chikungunya, and Other Emerging Vector-Borne Viral Diseases."
0,The evolutionary dynamics of Oropouche Virus in South America.,0,The evolutionary dynamics of Oropouche Virus in South America.
0,Uncovering Flavivirus Host Dependency Factors through a Genome-Wide Gain-of-Function Screen.,1,Uncovering Flavivirus Host Dependency Factors through a Genome-Wide Gain-of-Function Screen.
0,Viral diseases in Ethiopia: a review.,0,Viral diseases in Ethiopia: a review.
0,Urbanization and geographic expansion of zoonotic arboviral diseases: mechanisms and potential strategies for prevention.,0,Urbanization and geographic expansion of zoonotic arboviral diseases: mechanisms and potential strategies for prevention.
1,Why are neurons susceptible to Zika virus ?,1,Why are neurons susceptible to Zika virus?
1,A newly discovered flavivirus in the yellow fever virus group displays restricted replication in vertebrates.,1,A newly discovered flavivirus in the yellow fever virus group displays restricted replication in vertebrates.
1,"[A comparison of the serological effects of classical cholera vaccine and of purified fraction vaccine, with or without simultaneous yellow fever vaccine (author's transl)].",0,"[A comparison of the serological effects of classical cholera vaccine and of purified fraction vaccine, with or without simultaneous yellow fever vaccine (authors transl)]."
0,Live attenuated vaccines: Historical successes and current challenges.,0,Live attenuated vaccines: Historical successes and current challenges.
0,Effects of the Environmental Temperature on <i>Aedes aegypti</i> and <i>Aedes albopictus</i> Mosquitoes: A Review.,1,Effects of the Environmental Temperature on <i>Aedes aegypti</i> and <i>Aedes albopictus</i> Mosquitoes: A Review.
0,Virulency of novel nanolarvicide from Trichoderma atroviride against Aedes aegypti (Linn.): a CLSM analysis.,0,Virulency of novel nanolarvicide from Trichoderma atroviride against Aedes aegypti (Linn.): a CLSM analysis.
1,[Global threats from emerging viral diseases].,1,[Global threats from emerging viral diseases].
1,"THE BEHAVIOR OF THE VIRUS OF YELLOW FEVER IN THE MOSQUITO, AEDES TRISERIATUS.",0,"THE BEHAVIOR OF THE VIRUS OF YELLOW FEVER IN THE MOSQUITO, AEDES TRISERIATUS."
0,Mosquito control--its impact on the growth and development of Florida.,0,Mosquito control--its impact on the growth and development of Florida.
1,"Comparison of the nucleotide and deduced amino acid sequences of the envelope protein genes of the wild-type French viscerotropic strain of yellow fever virus and the live vaccine strain, French neurotropic vaccine, derived from it.",0,"Comparison of the nucleotide and deduced amino acid sequences of the envelope protein genes of the wild-type French viscerotropic strain of yellow fever virus and the live vaccine strain, French neurotropic vaccine, derived from it."
1,Non-structural protein-is required for West Nile virus replication complex formation and viral RNA synthesis.,0,Non-structural protein-1 is required for West Nile virus replication complex formation and viral RNA synthesis.
0,Continuous cell lines from embryonic tissues of ticks (Acari: Ixodidae).,0,Continuous cell lines from embryonic tissues of ticks (Acari: Ixodidae).
0,Histopathology of vaccine-preventable diseases.,0,Histopathology of vaccine-preventable diseases.
1,[Incidence of yellow fever in different zones of Colombia].,0,[Incidence of yellow fever in different zones of Colombia].
1,Yellow fever vaccination in the Americas.,,
0,"INCIDENCE of disease; foreign reports; reports of cholera, plague, smallpox, typhus fever and yellow fever received during the current week.",,
0,"Observations on Some Remarks of Dr Bancroft, Contained in the 7th Appendix to His Essay on the Disease Called Yellow-Fever, &c.",,
1,Pyrethroid resistance in Aedes aegypti and Aedes albopictus: Important mosquito vectors of human diseases.,,
1,Electron-microscope studies on the livers of yellow-fever-infected African monkeys.,,
0,Nitazoxanide: a first-in-class broad-spectrum antiviral agent.,,
1,"[Study of vaccination for travel shows: serious gaps in polio, diphtheria and tetanus vaccination].",,
0,In search of flavivirus inhibitors: evaluation of different tritylated nucleoside analogues.,,
1,Vaccination and immunization strategies to design Aedes aegypti salivary protein based subunit vaccine tackling Flavivirus infection.,,
0,Antiviral (RNA) activity of selected Amaryllidaceae isoquinoline constituents and synthesis of related substances.,,
0,"Vaccinations and malaria prophylaxis for long-term travellers travelling from Greece: a prospective, questionnaire-based analysis.",,
1,"A continuing focus of yellow fever in the Apurimac River Valley, Ayacucho, Peru, and the first isolation of yellow fever virus in that country.",,
1,India and the yellow fever problem.,,
0,A chimeric live attenuated vaccine against Japanese encephalitis.,,
1,Yellow fever vaccine: an updated assessment of advanced age as a risk factor for serious adverse events.,,
0,Unto the least of these: the Howard Association and yellow fever.,,
1,Yellow fever in Africa: a disaster waiting to happen.,,
0,[Yellow fever epidemiology in Brazil].,,
0,Interference in human viral infections: present status and prospects for the future.,,
0,[Epidemiological types of yellow fever and laboratory methods for its study].,,
0,[Vaccinations for journeys in the tropics].,,
0,"[Evaluation of the immunological and entomological indices of yellow fever in the subprefecture of Ta\'ef, Ivory Coast].",,
1,Mutations in the yellow fever virus nonstructural protein NS2A selectively block production of infectious particles.,,
1,Outbreak of yellow fever in Kenya: how doctors got the news.,,
1,[The quality standardization of a national vaccine against yellow fever].,,
0,[The historical evolution of dengue prevention and control programs in Brazil].,,
1,"The use of yellow fever virus modified by in vitro cultivation for human immunization. J. Exp. Med. 65, 787-80(1937)",,
1,Specific detection of chikungunya virus using a RT-PCR/nested PCR combination.,,
0,YELLOW FEVER.,,
0,A review of the results of yellow fever protection-tests on the sera of primates from Kenya.,,
0,Aedes aegypti vector competence studies: A review.,,
0,Carlos Juan Finlay y Barres (1833-1915).,,
0,Emerging viral infections with special reference to India.,,
0,"Safety testing for neurovirulence of novel live, attenuated flavivirus vaccines: infant mice provide an accurate surrogate for the test in monkeys.",,
0,The biography of the immune system and the control of cancer: from St Peregrine to contemporary vaccination strategies.,,
0,"INCIDENCE of disease. Foreign reports; reports of cholera, plague, smallpox, typhus fever, and yellow fever received during the current week.",,
1,"Fatal yellow fever in a traveler returning from Amazonas, Brazil, 2002.",,
0,Polymerases of hepatitis C viruses and flaviviruses: structural and mechanistic insights and drug development.,,
1,Highly Sensitive and Selective Direct Detection of Zika Virus Particles in Human Bodily Fluids for Accurate Early Diagnosis of Infection.,,
1,Combination of surveillance tools reveals that Yellow Fever virus can remain in the same Atlantic Forest area at least for three transmission seasons.,,
0,"Sylvatic yellow fever activity in Trinidad, 1988-1989.",,
0,[Vaccination and development in sub-Saharian Africa].,,
0,"Yellow Fever Epidemic in Memphis, 1879.",,
0,Regulation of the gut-specific carboxypeptidase: a study using the binary Gal4/UAS system in the mosquito Aedes aegypti.,,
1,[Problem of collective vaccinations as studied in connection with the yellow fever vaccination].,,
0,[Introduction to symposium on yellow fever].,,
0,"Yellow fever in New Orleans, 1853: abstractions and realities.",,
0,"Yellow fever in the lower Motagua Valley, Guatemala.",,
0,DDT-resistance in West African and Asian strains of Aedes aegypti (L.).,,
1,Increased yellow fever virus infection and dissemination rates in Aedes aegypti mosquitoes orally exposed to freshly grown virus.,,
0,[Not Available].,,
1,Inadequate protection against yellow fever of children visiting endemic areas.,,
1,Selection of attenuated dengue 4 viruses by serial passage in primary kidney cells. V. Human response to immunization with a candidate vaccine prepared in fetal rhesus lung cells.,,
1,Infectious Disease Risk Across the Growing Human-Non Human Primate Interface: A Review of the Evidence.,,
0,"Dr. Harris, on the Yellow Fever.",,
0,Identification and characterization of avian retroviruses in chicken embryo-derived yellow fever vaccines: investigation of transmission to vaccine recipients.,,
1,Evolution of resistance to satyrization through reproductive character displacement in populations of invasive dengue vectors.,,
1,Limited evolution of the yellow fever virus 17d in a mouse infection model.,,
1,Subverting the mechanisms of cell death: flavivirus manipulation of host cell responses to infection.,,
1,Field study of the safety of abate for treating potable water and observations on the effectiveness of a control programme involving both abate and malathion.,,
0,Yellow fever vaccination coverage among children in Brazilian capitals.,,
1,Report to the Transport Board on the Subject of Yellow Fever.,,
0,"[Carlos Juan Finlay, yellow fever & the writing of history].",,
0,Yellow fever.,,
0,"[Serological studies in research on arbovirus antibodies in the human population of the Ribeira Valley region. II - Survey of patients of Pariquera-A\'e7\'fa Regional Hospital, 1980].",,
0,"Aedes albopictus, yellow fever, and the Americas.",,
1,Pathways Exploited by Flaviviruses to Counteract the Blood-Brain Barrier and Invade the Central Nervous System.,,
0,A comparative approach to the French medical missions in Brazil and in sub-Saharan Africa before the Second World War.,,
1,Researchers employ systems biology approach to predict adaptive immune response to yellow fever vaccine.,,
1,"Neuronal Responses of Antennal Olfactory Sensilla to Insect Chemical Repellents in the Yellow Fever Mosquito, Aedes aegypti.",,
1,Should yellow fever vaccine be included in the expanded program of immunization in Africa? A cost-effectiveness analysis for Nigeria.,,
1,Rapid protein profiling facilitates surveillance of invasive mosquito species.,,
0,Recommendations for travellers during the yellow fever outbreaks in Brazil-2018.,,
0,Immunohistochemical examination of the role of Fas ligand and lymphocytes in the pathogenesis of human liver yellow fever.,,
0,[On yellow fever in Africa].,,
0,Identification and characterization of the host protein DNAJC14 as a broadly active flavivirus replication modulator.,,
1,THE EFFECT OF PROLONGED CULTIVATION IN VITRO UPON THE PATHOGENICITY OF YELLOW FEVER VIRUS.,,
0,Yellow fever outbreaks and Twitter: Rumors and misinformation.,,
0,Wild-Type Yellow Fever Virus RNA in Cerebrospinal Fluid of Child.,,
0,Transgenic Aedes aegypti Mosquitoes Transfer Genes into a Natural Population.,,
0,"Naturally acquired yellow fever immunity in Muzo, Colombia.",,
0,"Seasonal abundance, biting cycle, parity and vector potential of the mosquito Haemagogus equinus in Trinidad.",,
0,Problems of insecticide resistance.,,
0,Iron and Ferritin Deposition in the Ovarian Tissues of the Yellow Fever Mosquito (Diptera: Culicidae).,,
1,Yellow fever vaccine - how does it work and why do rare cases of serious adverse events take place ?,,
0,"Antibodies to yellow fever and other arthropod-borne viruses in human residents of San Vicente de Chucuri, Santander, Colombia.",,
0,Structural basis of West Nile virus neutralization by a therapeutic antibody.,,
0,Yellow fever: Massive open online courses (MOOCs) in the outbreaks era.,,
0,Functional analysis of genes in Aedes aegypti embryos.,,
1,"Cytogenetics of two radiation-induced, sex-linked translocations in the yellow-fever mosquito, Aedes aegypti.",,
0,The antioxidant role of xanthurenic acid in the Aedes aegypti midgut during digestion of a blood meal.,,
0,Yellow fever in Panama; historical and contemporary.,,
0,Comparative immunochemical and biological analysis of African and South American yellow fever viruses.,,
,,,
0,[Association between central diabetes insipidus and type 2 diabetes mellitus].,0,[Association between central diabetes insipidus and type 2 diabetes mellitus].
1,Fatal Fournier's gangrene caused by Clostridium ramosum in a patient with central diabetes insipidus and insulin-dependent diabetes mellitus: a case report.,1,Fatal Fournier's gangrene caused by Clostridium ramosum in a patient with central diabetes insipidus and insulin-dependent diabetes mellitus: a case report.
1,Pulmonary Langerhans Cell Histiocytosis in an Adult Male Presenting with Central Diabetes Insipidus and Diabetes Mellitus: A Case Report.,1,Pulmonary Langerhans Cell Histiocytosis in an Adult Male Presenting with Central Diabetes Insipidus and Diabetes Mellitus: A Case Report.
0,"Diabetes mellitus, diabetes insipidus, optic atrophy, and deafness: A case of Wolfram (DIDMOAD) syndrome.",1,"Diabetes mellitus, diabetes insipidus, optic atrophy, and deafness: A case of Wolfram (DIDMOAD) syndrome."
0,History of Diabetes Insipidus.,0,History of Diabetes Insipidus.
0,One too many diabetes: the combination of hyperglycaemic hyperosmolar state and central diabetes insipidus.,0,One too many diabetes: the combination of hyperglycaemic hyperosmolar state and central diabetes insipidus.
0,Diabetes insipidus in pregnancy: how to advice the patient?,0,Diabetes insipidus in pregnancy: how to advice the patient?
0,A Copeptin-Based Approach in the Diagnosis of Diabetes Insipidus.,0,A Copeptin-Based Approach in the Diagnosis of Diabetes Insipidus.
1,Refractory diabetes insipidus leading to diagnosis of type 2 diabetes mellitus and non-ketotic hyperglycemia in an adolescent male.,1,Refractory diabetes insipidus leading to diagnosis of type 2 diabetes mellitus and non-ketotic hyperglycemia in an adolescent male.
0,Genetic forms of neurohypophyseal diabetes insipidus.,0,Genetic forms of neurohypophyseal diabetes insipidus.
0,Genetics of Diabetes Insipidus.,0,Genetics of Diabetes Insipidus.
0,Diabetes Insipidus and Syndrome of Inappropriate Antidiuretic Hormone in Critically Ill Patients.,0,Diabetes Insipidus and Syndrome of Inappropriate Antidiuretic Hormone in Critically Ill Patients.
1,Hyperemesis gravidarum followed by refeeding syndrome causes electrolyte abnormalities induced rhabdomyolysis and diabetes insipidus.,1,Hyperemesis gravidarum followed by refeeding syndrome causes electrolyte abnormalities induced rhabdomyolysis and diabetes insipidus.
0,Usefulness of anti-rabphilin-3A antibodies for diagnosing central diabetes insipidus in the third trimester of pregnancy.,1,Usefulness of anti-rabphilin-3A antibodies for diagnosing central diabetes insipidus in the third trimester of pregnancy.
0,Diabetes Insipidus.,0,Diabetes Insipidus.
0,Arginine-stimulated copeptin measurements in the differential diagnosis of diabetes insipidus: a prospective diagnostic study.,1,Arginine-stimulated copeptin measurements in the differential diagnosis of diabetes insipidus: a prospective diagnostic study.
1,"[Case of distal renal tubular acidosis complicated with renal diabetes insipidus, showing aggravation of symptoms with occurrence of diabetes mellitus].",1,"[Case of distal renal tubular acidosis complicated with renal diabetes insipidus, showing aggravation of symptoms with occurrence of diabetes mellitus]."
1,Diabetes insipidus is an unfavorable prognostic factor for response to glucocorticoids in patients with autoimmune hypophysitis.,0,Diabetes insipidus is an unfavorable prognostic factor for response to glucocorticoids in patients with autoimmune hypophysitis.
1,Mice deficient for ERAD machinery component Sel1L develop central diabetes insipidus.,0,Mice deficient for ERAD machinery component Sel1L develop central diabetes insipidus.
1,Adipsic diabetes insipidus revealing a bifocal intracranial germinoma.,1,Adipsic diabetes insipidus revealing a bifocal intracranial germinoma.
0,Incidence of Diabetes Insipidus in Postoperative Period among the Patients Undergoing Pituitary Tumour Surgery.,1,Incidence of Diabetes Insipidus in Postoperative Period among the Patients Undergoing Pituitary Tumour Surgery.
0,[Coexistence of autoimmune polyglandular syndrome type 3 with diabetes insipidus].,0,[Coexistence of autoimmune polyglandular syndrome type 3 with diabetes insipidus].
0,Diabetes insipidus and pregnancy.,0,Diabetes insipidus and pregnancy.
0,The central diabetes insipidus associated with septo-optic dysplasia (de Morsier syndrome).,1,The central diabetes insipidus associated with septo-optic dysplasia (de Morsier syndrome).
1,The value of urine specific gravity in detecting diabetes insipidus in a patient with uncontrolled diabetes mellitus: urine specific gravity in differential diagnosis.,0,The value of urine specific gravity in detecting diabetes insipidus in a patient with uncontrolled diabetes mellitus: urine specific gravity in differential diagnosis.
0,Diabetes insipidus in infants and children.,0,Diabetes insipidus in infants and children.
0,Rapid differential diagnosis of diabetes insipidus in a 7-month-old infant: The copeptin approach.,1,Rapid differential diagnosis of diabetes insipidus in a 7-month-old infant: The copeptin approach.
0,The clinical course and pathophysiological investigation of adolescent gestational diabetes insipidus: a case report.,1,The clinical course and pathophysiological investigation of adolescent gestational diabetes insipidus: a case report.
0,Soluble (pro)renin receptor as a potential therapy for diabetes insipidus.,1,Soluble (pro)renin receptor as a potential therapy for diabetes insipidus.
